Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743012112011,60831.29959106445,4650,0,1.2,40798.299880981445,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,16.704544067382813,48.24473571777344,12.0877685546875,6.698356628417969,75.02363586425781,11.416030883789063,61.69508743286133,12.908592224121094,29.876739501953125,9.307167053222656,28.66869354248047,8.355453491210938,34239672320,34583793664,12556500992,0
190,1743012112020,60831.344955444336,3720.0000000000005,0,1.20625,40798.99540710449,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,75.2735366821289,0.6714401245117188,31.269935607910156,0,15.64068603515625,12.959518432617188,49.04701614379883,13.315071105957031,9.886924743652344,0.49137115478515625,4.925910949707031,1.3474502563476563,34239672320,34583793664,12556447744,0
200,1743012112211,60832.751037597656,4650,0,1.20625,40808.16482543945,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,17.152557373046875,7.742393493652344,0.9643478393554688,1.8281478881835938,76.23890686035156,8.093063354492188,12.415969848632813,7.8140716552734375,1.3496780395507813,1.51788330078125,5.331268310546875,4.231544494628906,34239672320,34583793664,12578861056,0
199,1743012112411,60833.86854553223,3720.0000000000005,0,1.20625,40817.502212524414,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,5.678092956542969,1.5307235717773438,1.0378875732421875,1.5003433227539063,57.41864013671875,2.10980224609375,42.79435729980469,3.9360733032226563,3.2213668823242188,1.8015289306640625,1.598663330078125,1.4175872802734375,34239672320,34583793664,12576071680,0
199,1743012112611,60834.645248413086,3720.0000000000005,0,1.2125,40827.1270904541,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,26.09046173095703,3.8568344116210938,2.8663406372070313,4.300262451171875,34.55347442626953,1.5171661376953125,43.0392951965332,1.3495254516601563,0.5603485107421875,8.997749328613281,1.4358749389648438,0.5681686401367188,34239672320,34583793664,12585672704,0
199,1743012112812,60835.73490905762,4650,0,1.2125,40836.824783325195,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,5.74017333984375,3.6666717529296875,0.24199676513671875,1.4258880615234375,55.27687454223633,1.4948883056640625,48.04296112060547,10.591583251953125,0.45493316650390625,0.40131378173828125,2.1599044799804688,0.6329345703125,34239672320,34583793664,12593995776,0
200,1743012113012,60494.944244384766,3720.0000000000005,0,1.19375,40846.285400390625,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,9.12762451171875,2.2978439331054688,0.27864837646484375,1.4303665161132813,90.50989532470703,0.47037506103515625,9.320304870605469,1.6933822631835938,0.6119003295898438,0.35413360595703125,1.145477294921875,0.5693435668945313,34239672320,34583793664,12591755264,0
199,1743012113212,60839.12944030762,3720.0000000000005,0,1.2125,40855.890884399414,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.4747848510742188,1.7853012084960938,2.4030532836914063,1.2731475830078125,95.26396179199219,0.22776031494140625,7.917144775390625,1.1658935546875,0.6308059692382813,0.6382522583007813,3.9300537109375,3.3819732666015625,34239672320,34583793664,12606689280,0
200,1743012113412,60496.81687927246,4650,0,1.2,40865.80436706543,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.955169677734375,1.7093734741210938,0.41858673095703125,1.5131149291992188,30.365859985351563,1.6919937133789063,74.08102416992188,0.8165512084960938,1.0827865600585938,0.4690399169921875,1.3514251708984375,0.5988616943359375,34239672320,34583793664,12603428864,0
199,1743012113612,60497.31318664551,4650,0,1.2,40875.39912414551,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.9169387817382813,2.524993896484375,2.785491943359375,3.9483489990234375,91.39850616455078,0.5261917114257813,13.027442932128906,3.8337860107421875,0.98760986328125,0.0530853271484375,1.590118408203125,0.341552734375,34239672320,34583793664,12597944320,0
199,1743012113812,60497.989334106445,3720.0000000000005,0,1.2,40885.6217956543,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,16.026657104492188,3.0757369995117188,1.376800537109375,6.128448486328125,81.03678131103516,5.9721527099609375,25.093917846679688,5.0194091796875,3.2435760498046875,19.124412536621094,6.255287170410156,2.9309234619140625,34239672320,34583793664,12605853696,0
200,1743012114012,60498.29570007324,4650,0,1.19375,40895.04650878906,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.250358581542969,1.2349777221679688,0.19515228271484375,1.5486907958984375,99.17496490478516,0.2644805908203125,3.21795654296875,2.0046234130859375,0.46332550048828125,0.2890777587890625,0.9762954711914063,0.8670196533203125,34239672320,34583793664,12602232832,0
200,1743012114213,60498.597427368164,3720.0000000000005,0,1.19375,40904.41255187988,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.1215057373046875,1.3151168823242188,0.15554046630859375,1.6038284301757813,99.4334716796875,0.21393585205078125,3.3274307250976563,1.8661117553710938,0.4864044189453125,3.0981597900390625,1.32635498046875,3.4693374633789063,34239672320,34583793664,12613787648,0
199,1743012114413,60848.16897583008,4650,0,1.2125,40913.99409484863,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.078453063964844,1.939422607421875,0.35234832763671875,1.6606216430664063,73.1080322265625,0.7579574584960938,31.55225372314453,0.9009170532226563,0.6011276245117188,0.3995208740234375,1.391845703125,0.7994461059570313,34239672320,34583793664,12605915136,0
199,1743012114613,60848.48976135254,4650,0,1.2125,40923.85096740723,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.6911773681640625,2.5671157836914063,0.41767120361328125,1.5939559936523438,3.8020858764648438,3.835113525390625,98.70047760009766,0.5878677368164063,3.1407012939453125,0.20006561279296875,1.047332763671875,0.30982208251953125,34239672320,34583793664,12609875968,0
