Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1740149594437,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,4.667884826660156,0.496307373046875,1.3687820434570313,12.472625732421875,7.8857879638671875,1.380462646484375,3.564178466796875,0.733428955078125,1.1092987060546875,8.9681396484375,2.5433197021484375,0.5894393920898438,24114.17156982422,27714.417236328125,124502.61865234375,6613.546325683594,17012051968,15032385536,7891918848,0
200,1740149594638,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1.80914306640625,1.4932403564453125,0.5686416625976563,1.905975341796875,2.0163345336914063,2.2857513427734375,0.8344573974609375,0.5753326416015625,0.9217529296875,1.6669235229492188,1.1503143310546875,0.5225448608398438,24114.336853027344,27716.060119628906,124502.76416015625,6613.546325683594,17012051968,15032385536,7891369984,0
200,1740149594838,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,0.95770263671875,0.7920379638671875,0.45447540283203125,0.47162628173828125,3.1665496826171875,0.30730438232421875,2.5947723388671875,0.2764434814453125,0.6797637939453125,1.0307388305664063,0.34185028076171875,0.6700439453125,24114.502319335938,27716.439575195313,124502.8695678711,6613.546325683594,17012051968,15032385536,7888465920,0
200,1740149595039,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2.011993408203125,1.1485977172851563,1.2872390747070313,1.9986190795898438,4.5711669921875,1.1948089599609375,1.6970672607421875,0.96112060546875,1.1659317016601563,2.4659042358398438,1.5482254028320313,1.037353515625,24114.67218017578,27716.830444335938,124502.9761352539,6613.547790527344,17012051968,15032385536,7884058624,0
200,1740149595239,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,7.241584777832031,2.3423614501953125,2.233673095703125,4.240043640136719,20.989044189453125,2.6613311767578125,4.116966247558594,1.1115036010742188,2.7014846801757813,19.081192016601563,3.442840576171875,1.1778717041015625,24114.827575683594,27717.75115966797,124503.6089477539,6613.5587158203125,17012051968,15032385536,7879376896,0
200,1740149595439,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,7.728790283203125,4.779090881347656,4.2491607666015625,3.3881149291992188,37.78395462036133,3.682708740234375,13.071365356445313,1.5656661987304688,3.7073211669921875,9.501655578613281,10.74151611328125,3.2138671875,24114.977478027344,27718.82928466797,124504.39855957031,6613.567138671875,17012051968,15032385536,7879225344,0
200,1740149595640,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,36.23088073730469,12.498374938964844,6.009101867675781,2.0445632934570313,40.23373794555664,12.08868408203125,36.28294372558594,2.9659805297851563,10.221824645996094,3.8103485107421875,8.393646240234375,33.40650177001953,24115.15234375,27720.74462890625,124505.98565673828,6613.5736083984375,17012051968,15032385536,7903719424,0
200,1740149595840,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2.2607498168945313,3.740997314453125,20.800155639648438,1.9519882202148438,69.54779815673828,1.988433837890625,5.8625946044921875,1.9274139404296875,1.4991836547851563,3.1666946411132813,2.09429931640625,18.80994415283203,24115.3046875,27722.118774414063,124507.0478515625,6613.5736083984375,17012051968,15032385536,7916027904,0
200,1740149596041,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,4.88934326171875,6.357200622558594,6.506553649902344,0.5944976806640625,23.14379119873047,0.44710540771484375,2.601654052734375,6.460578918457031,6.5894927978515625,2.9683914184570313,7.8596038818359375,0.469818115234375,24115.45733642578,27723.108459472656,124507.72875976563,6613.581848144531,17012051968,15032385536,7868141568,0
200,1740149596241,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,9.517250061035156,1.8081817626953125,11.816825866699219,7.509086608886719,4.8900146484375,0.8460006713867188,5.540283203125,1.2191238403320313,2.9988784790039063,1.1925888061523438,1.815216064453125,4.3984222412109375,24115.608337402344,27723.851135253906,124508.18994140625,6613.5924072265625,17012051968,15032385536,7867060224,0
199,1740149596441,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1.7051544189453125,1.0178298950195313,1.3078079223632813,1.62451171875,3.731414794921875,2.2158050537109375,1.7906494140625,1.1839675903320313,1.92205810546875,1.3581314086914063,4.99237060546875,1.0704727172851563,24115.734741210938,27724.22625732422,124508.32409667969,6613.5924072265625,17012051968,15032385536,7867121664,0
