Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742768487547,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.23904800415039,45.2393684387207,47.19061279296875,45.619564056396484,44.425621032714844,46.399017333984375,44.22196960449219,45.57670211791992,44.748748779296875,43.25212860107422,50,0,0,0,0,0,0,0,0,0,9.07310676574707,17179869184,2147483648,12693045248,748290048
204,1742768487547,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.23904800415039,45.2393684387207,47.19061279296875,45.619564056396484,44.425621032714844,46.399017333984375,44.22196960449219,45.57670211791992,44.748748779296875,43.25212860107422,0,0,100,50,0,0,0,0,0,0,9.07310676574707,17179869184,2147483648,12693045248,748290048
204,1742768487752,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.23904800415039,45.2393684387207,47.19061279296875,45.619564056396484,44.425621032714844,46.399017333984375,44.22196960449219,45.57670211791992,44.748748779296875,43.25212860107422,19.047618865966797,15.000000953674316,86.36363983154297,10,0,4.761904716491699,0,0,0,0,9.07310676574707,17179869184,2147483648,12693045248,748290048
204,1742768487957,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.0760612487793,45.06245803833008,46.62769317626953,45.44756317138672,43.920631408691406,45.64753341674805,43.96036911010742,45.6509895324707,44.6261100769043,42.75353240966797,10,10,42.85714340209961,55,0,0,4.761904716491699,0,0,0,9.07310676574707,17179869184,2147483648,12737691648,748290048
204,1742768488163,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.0760612487793,45.06245803833008,46.62769317626953,45.44756317138672,43.920631408691406,45.64753341674805,43.96036911010742,45.6509895324707,44.6261100769043,42.75353240966797,20,19.047618865966797,50,31.81818199157715,23.809524536132813,0,0,0,4.761904716491699,5,9.07310676574707,17179869184,2147483648,12753895424,748290048
200,1742768488368,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.0760612487793,45.06245803833008,46.62769317626953,45.44756317138672,43.920631408691406,45.64753341674805,43.96036911010742,45.6509895324707,44.6261100769043,42.75353240966797,15.000000953674316,14.285715103149414,70,21.052631378173828,14.285715103149414,10,20,0,0,0,9.518742561340332,17179869184,2147483648,12774916096,748290048
201,1742768488569,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.0760612487793,45.06245803833008,46.62769317626953,45.44756317138672,43.920631408691406,45.64753341674805,43.96036911010742,45.6509895324707,44.6261100769043,42.75353240966797,14.285715103149414,10.526315689086914,25,70,10.526315689086914,9.523809432983398,15.000000953674316,0,0,0,9.518742561340332,17179869184,2147483648,12788924416,748290048
6,1742768488770,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,45.802772521972656,45.06245803833008,47.30297088623047,46.9494514465332,44.22278594970703,46.105506896972656,44.84679412841797,46.18732452392578,45.11055374145508,43.1483154296875,15.789472579956055,20,5,45,4.761904716491699,0,9.523809432983398,0,0,0,9.518742561340332,17179869184,2147483648,12688949248,748290048
