Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742768594647,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.15065383911133,48.863643646240234,49.92224884033203,48.48631286621094,47.38105010986328,51.89410400390625,47.996639251708984,49.06428527832031,48.988441467285156,46.91584014892578,0,0,100,0,0,0,0,0,0,0,8.867791175842285,17179869184,2147483648,12688343040,748290048
204,1742768594648,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.15065383911133,48.863643646240234,49.92224884033203,48.48631286621094,47.38105010986328,51.89410400390625,47.996639251708984,49.06428527832031,48.988441467285156,46.91584014892578,100,NaN,100,100,NaN,0,0,0,0,0,8.867791175842285,17179869184,2147483648,12690948096,748290048
204,1742768594853,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.58424758911133,49.41658401489258,50.902854919433594,49.755428314208984,47.94024658203125,51.067569732666016,48.96308517456055,50.08733367919922,49.74050521850586,47.34862518310547,14.285715103149414,14.285715103149414,66.66667175292969,20,13.636363983154297,4.761904716491699,0,0,0,0,8.867791175842285,17179869184,2147483648,12718440448,748290048
201,1742768595058,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.58424758911133,49.41658401489258,50.902854919433594,49.755428314208984,47.94024658203125,51.067569732666016,48.96308517456055,50.08733367919922,49.74050521850586,47.34862518310547,14.285715103149414,10,100,0,0,0,0,0,0,0,8.867791175842285,17179869184,2147483648,12736069632,748290048
204,1742768595259,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.58424758911133,49.41658401489258,50.902854919433594,49.755428314208984,47.94024658203125,51.067569732666016,48.96308517456055,50.08733367919922,49.74050521850586,47.34862518310547,10,15.000000953674316,55,42.85714340209961,0,0,9.523809432983398,0,5,0,9.635577201843262,17179869184,2147483648,12756221952,748290048
204,1742768595464,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.58424758911133,49.41658401489258,50.902854919433594,49.755428314208984,47.94024658203125,51.067569732666016,48.96308517456055,50.08733367919922,49.74050521850586,47.34862518310547,20,15.000000953674316,45,35,35,21.052631378173828,25,15.000000953674316,10,10,9.635577201843262,17179869184,2147483648,12756221952,748290048
204,1742768595669,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.58424758911133,49.41658401489258,50.902854919433594,49.755428314208984,47.94024658203125,51.067569732666016,48.96308517456055,50.08733367919922,49.74050521850586,47.34862518310547,25,19.047618865966797,95,9.523809432983398,4.761904716491699,9.523809432983398,9.523809432983398,0,0,0,9.635577201843262,17179869184,2147483648,12771540992,748290048
204,1742768595874,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.420047760009766,49.18701171875,52.31597137451172,49.426429748535156,47.47462463378906,50.412654876708984,48.44112014770508,49.79557418823242,49.16073989868164,46.762664794921875,19.047618865966797,20,61.904762268066406,15.000000953674316,20,5,21.052631378173828,0,0,0,9.635577201843262,17179869184,2147483648,12781846528,748290048
9,1742768596079,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.420047760009766,49.18701171875,52.31597137451172,49.426429748535156,47.47462463378906,50.412654876708984,48.44112014770508,49.79557418823242,49.16073989868164,46.762664794921875,25,20,20,76.19047546386719,14.285715103149414,4.761904716491699,13.636363983154297,4.761904716491699,0,0,9.635577201843262,17179869184,2147483648,12683395072,748290048
