Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742768524451,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.488922119140625,46.96226119995117,50.00782012939453,47.176212310791016,45.27741241455078,47.39040756225586,45.663238525390625,47.288116455078125,46.091827392578125,44.07337188720703,0,50,50,0,0,0,0,0,0,0,6.970117092132568,17179869184,2147483648,12820414464,748290048
204,1742768524451,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.488922119140625,46.96226119995117,50.00782012939453,47.176212310791016,45.27741241455078,47.39040756225586,45.663238525390625,47.288116455078125,46.091827392578125,44.07337188720703,NaN,100,100,50,0,0,0,0,0,0,6.970117092132568,17179869184,2147483648,12820414464,748290048
204,1742768524656,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.488922119140625,46.96226119995117,50.00782012939453,47.176212310791016,45.27741241455078,47.39040756225586,45.663238525390625,47.288116455078125,46.091827392578125,44.07337188720703,19.047618865966797,20,90,15.000000953674316,9.523809432983398,9.523809432983398,4.761904716491699,0,0,0,6.970117092132568,17179869184,2147483648,12820414464,748290048
204,1742768524861,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.25758743286133,47.18441390991211,47.459815979003906,46.45219802856445,46.01782989501953,48.38429641723633,45.851280212402344,47.38987731933594,46.47618865966797,44.55284118652344,5,9.523809432983398,4.761904716491699,0,0,100,0,0,0,0,6.970117092132568,17179869184,2147483648,12820414464,748290048
203,1742768525066,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.25758743286133,47.18441390991211,47.459815979003906,46.45219802856445,46.01782989501953,48.38429641723633,45.851280212402344,47.38987731933594,46.47618865966797,44.55284118652344,25,25,50,21.052631378173828,5,65,30.000001907348633,42.85714340209961,0,9.090909004211426,6.970117092132568,17179869184,2147483648,12820414464,748290048
203,1742768525269,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.25758743286133,47.18441390991211,47.459815979003906,46.45219802856445,46.01782989501953,48.38429641723633,45.851280212402344,47.38987731933594,46.47618865966797,44.55284118652344,10,10,75,42.85714340209961,57.142860412597656,33.333335876464844,30.000001907348633,15.000000953674316,18.18181800842285,10,9.682527542114258,17179869184,2147483648,12820414464,748290048
204,1742768525473,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.25758743286133,47.18441390991211,47.459815979003906,46.45219802856445,46.01782989501953,48.38429641723633,45.851280212402344,47.38987731933594,46.47618865966797,44.55284118652344,14.285715103149414,14.285715103149414,80,25,30.000001907348633,10.526315689086914,28.571430206298828,19.047618865966797,0,4.761904716491699,9.682527542114258,17179869184,2147483648,12901089280,748290048
9,1742768525678,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,46.25758743286133,47.18441390991211,47.459815979003906,46.45219802856445,46.01782989501953,48.38429641723633,45.851280212402344,47.38987731933594,46.47618865966797,44.55284118652344,50,45,76.19047546386719,25,20,19.047618865966797,15.000000953674316,0,5,5,9.682527542114258,17179869184,2147483648,12807847936,748290048
