Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743009356377,55181.89700317383,4650,0,1.2125,2157.3101654052734,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,79.71125030517578,0,5.2112884521484375,21.40973663330078,42.229434967041016,20.606040954589844,24.257217407226563,18.376792907714844,21.15972137451172,0.37548065185546875,36.16626739501953,0.5027618408203125,34239672320,34583793664,13348085760,0
190,1743009356387,53271.27830505371,4650,0,1.20625,2158.0763244628906,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,68.17463684082031,0,0,26.21221160888672,40.095191955566406,15.686141967773438,8.746559143066406,15.943954467773438,10.660324096679688,0,15.037796020507813,0,34239672320,34583793664,13347979264,0
200,1743009356577,55182.60690307617,4650,0,1.2125,2167.594482421875,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,8.907684326171875,16.276519775390625,1.4915313720703125,2.566314697265625,86.59861755371094,3.3815689086914063,8.028839111328125,27.38336944580078,10.233482360839844,5.436492919921875,2.978424072265625,6.693855285644531,34239672320,34583793664,13371437056,0
200,1743009356777,55183.214263916016,4650,0,1.19375,2177.184371948242,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,12.009597778320313,2.703216552734375,0.38808441162109375,4.4209136962890625,75.45982360839844,3.67840576171875,11.877708435058594,12.499610900878906,0.6447830200195313,0.6240005493164063,1.9325942993164063,1.345489501953125,34239672320,34583793664,13374545920,0
4,1743009356978,27532.695877075195,4650,0,1.2125,2184.235382080078,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,8.811859130859375,1.7774581909179688,0.275115966796875,2.3593826293945313,16.295028686523438,1.6934356689453125,5.054405212402344,1.7490692138671875,0.60821533203125,0.5108413696289063,1.9295120239257813,0.6815948486328125,34239672320,34583793664,13360295936,0
