Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743010310578,54445.77772521973,4650,0,1.2,34019.47570800781,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,29.96375274658203,7.403450012207031,33.635169982910156,3.5570526123046875,82.910888671875,24.464439392089844,27.57342529296875,50.356204986572266,14.221969604492188,16.05487060546875,23.906387329101563,14.385704040527344,34239672320,34583793664,13365030912,0
191,1743010310587,54445.82775878906,4650,0,1.2125,34020.17106628418,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,10.030570983886719,6.237739562988281,7.9494171142578125,0,43.7287483215332,1.3078765869140625,71.05104064941406,18.886512756347656,2.8233718872070313,0,2.0860595703125,9.493522644042969,34239672320,34583793664,13364731904,0
200,1743010310778,56297.28074645996,4650,0,1.20625,34029.24089050293,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.69622802734375,2.4359359741210938,1.1747055053710938,4.493629455566406,70.39864349365234,3.8525009155273438,25.633094787597656,7.348884582519531,0.5635910034179688,1.1679000854492188,3.1789627075195313,0.9822921752929688,34239672320,34583793664,13377421312,0
200,1743010310978,56298.00434875488,3720.0000000000005,0,1.20625,34038.83615112305,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,10.273605346679688,3.5838165283203125,0.7240676879882813,1.769744873046875,68.34725952148438,6.3924560546875,23.871047973632813,6.8984375,1.3184661865234375,1.8026580810546875,3.3347702026367188,1.401947021484375,34239672320,34583793664,13382647808,0
4,1743010311179,54448.83755493164,4650,0,1.20625,34046.09635925293,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.355796813964844,1.747406005859375,0.2833404541015625,2.3180389404296875,15.910743713378906,2.2886505126953125,2.4149322509765625,5.154563903808594,3.170562744140625,0.7686538696289063,1.6713714599609375,3.5896148681640625,34239672320,34583793664,13352955904,0
