Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742840138198,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,7.0248870849609375,14.415016174316406,2.200958251953125,0.701080322265625,11.070686340332031,0.42673492431640625,3.108367919921875,0.9610137939453125,4.686531066894531,0.4691314697265625,40.362548828125,10.173309326171875,3463.2838134765625,6144,189,6409,61,0,43884.98840332031,20734.868041992188,1126.8245239257813,17012056064,4030738432,7088992256,0
199,1742840138199,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,21.307144165039063,25.042877197265625,16.46813201904297,4.84765625,57.36372756958008,3.9018325805664063,28.515220642089844,11.045051574707031,20.207107543945313,4.483024597167969,45.75730895996094,7.570549011230469,3463.3151245117188,6144,189,5495,61,0,43885.559326171875,20735.11944580078,1126.8245239257813,17012056064,4030738432,7088926720,0
200,1742840138399,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,7.110626220703125,2.7958831787109375,6.5174407958984375,0.5430374145507813,93.84099578857422,1.67041015625,14.017112731933594,2.632537841796875,4.515342712402344,32.631065368652344,13.310630798339844,2.0262527465820313,3463.4820556640625,6144,189,5583,61,0,43889.406494140625,20736.587768554688,1126.8297729492188,17012056064,4030738432,7105613824,0
200,1742840138599,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.37139892578125,1.813568115234375,1.2013168334960938,0.511566162109375,100,0.44010162353515625,66.61909484863281,0.40010833740234375,4.0569610595703125,0.4056396484375,5.782806396484375,1.102874755859375,3463.6377563476563,6144,189,5497,60,0,43893.32305908203,20738.10467529297,1126.8340454101563,17012056064,4030738432,7119532032,0
200,1742840138800,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,7.011848449707031,3.0912094116210938,3.2506256103515625,0.48714447021484375,11.257423400878906,90.24053192138672,35.67906188964844,0.6668243408203125,3.1810226440429688,0.5343475341796875,4.301155090332031,1.658966064453125,3463.8184204101563,6144,189,5528,60,0,43897.081481933594,20739.476806640625,1126.8380126953125,17012056064,4030738432,7134855168,0
199,1742840139000,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,4.509635925292969,2.6568603515625,2.549774169921875,53.22846221923828,42.06318283081055,29.672393798828125,48.73598098754883,0.586578369140625,5.102195739746094,1.5799713134765625,2.0962066650390625,1.5952224731445313,3463.9901123046875,6144,189,5505,60,0,43901.137634277344,20741.126892089844,1126.846923828125,17012056064,4030738432,7146405888,0
199,1742840139201,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.8869247436523438,1.819610595703125,33.258514404296875,0.5039138793945313,8.476737976074219,0.43328857421875,100,0.1566314697265625,2.747100830078125,0.38410186767578125,1.0532150268554688,1.6899261474609375,3464.1893310546875,6144,189,5527,60,0,43904.868103027344,20742.461486816406,1126.8529663085938,17012056064,4030738432,7156252672,0
199,1742840139401,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,4.981697082519531,2.6162490844726563,5.393547058105469,0.574493408203125,72.56050109863281,0.5300674438476563,100,0.5601882934570313,4.13580322265625,1.982666015625,3.4975357055664063,2.6236724853515625,3464.3623046875,6144,189,5527,60,0,43908.89276123047,20744.10186767578,1126.8572998046875,17012056064,4030738432,7165317120,0
200,1742840139601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2.6928558349609375,34.42478942871094,2.565948486328125,1.4829025268554688,5.496055603027344,60.978851318359375,42.908294677734375,0.5920867919921875,5.681251525878906,2.1198654174804688,2.811676025390625,1.77166748046875,3464.5288696289063,6144,189,5441,60,0,43912.6630859375,20745.492248535156,1126.8612060546875,17012056064,4030738432,7173214208,0
200,1742840139801,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,8.942245483398438,68.3681640625,4.3690643310546875,0,5.819145202636719,96.0326919555664,6.519371032714844,0,3.819427490234375,0,0.5699844360351563,0.9913864135742188,3464.7120971679688,6144,189,5441,60,0,43916.58270263672,20747.012145996094,1126.8675537109375,17012056064,4030738432,7178604544,0
