Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742840897096,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,5.929557800292969,3.3340988159179688,3.5162887573242188,0.999053955078125,52.680938720703125,0.450469970703125,3.9931716918945313,1.8272247314453125,18.66643524169922,1.445037841796875,2.6040725708007813,2.0879135131835938,4011.496826171875,6144,189,6421,62,0,55942.19812011719,24210.89727783203,1165.31982421875,17012056064,4030738432,7060127744,0
199,1742840897097,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,15.745498657226563,21.31616973876953,11.575325012207031,3.1531906127929688,54.835262298583984,7.8484344482421875,33.22047424316406,15.615089416503906,23.119361877441406,3.2287750244140625,43.36216354370117,3.830047607421875,4011.53466796875,6144,189,5475,62,0,55942.90167236328,24211.199096679688,1165.31982421875,17012056064,4030738432,7060152320,0
199,1742840897296,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.0499038696289063,2.1203079223632813,2.0266342163085938,0.6352767944335938,94.5291748046875,6.858375549316406,7.154624938964844,0.457855224609375,36.302791595458984,0.33679962158203125,8.5472412109375,1.5429229736328125,4011.6898193359375,6144,189,5596,62,0,55946.5654296875,24212.523315429688,1165.3231811523438,17012056064,4030738432,7078952960,0
200,1742840897496,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.5688552856445313,2.4590988159179688,1.00299072265625,76.521728515625,29.275604248046875,1.4719924926757813,4.607666015625,1.1103591918945313,67.0074462890625,2.0932540893554688,4.048881530761719,1.6925430297851563,4011.85009765625,6144,189,5537,61,0,55950.53387451172,24214.10369873047,1165.3329467773438,17012056064,4030738432,7087054848,0
200,1742840897697,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,8.290115356445313,3.1375579833984375,0.7932586669921875,100,39.04557800292969,0.96435546875,4.2904205322265625,3.3534622192382813,5.2314605712890625,1.1316299438476563,5.698204040527344,3.4064559936523438,4012.0353393554688,6144,189,5484,61,0,55954.38885498047,24215.573364257813,1165.3388671875,17012056064,4030738432,7109013504,0
200,1742840897898,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.4644088745117188,2.8751678466796875,0.4196624755859375,100,68.8516616821289,1.419830322265625,5.0854339599609375,0.47232818603515625,3.4518356323242188,0.26544189453125,1.8220291137695313,1.7945480346679688,4012.2071533203125,6144,189,5481,61,0,55958.39807128906,24217.173217773438,1165.3524780273438,17012056064,4030738432,7116763136,0
200,1742840898098,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,17.40777587890625,2.0551071166992188,1.3799057006835938,49.64303207397461,28.230316162109375,13.59832763671875,29.68225860595703,16.379104614257813,3.7220916748046875,1.5580673217773438,1.1381454467773438,1.745361328125,4012.4086303710938,6144,189,5474,61,0,55962.17053222656,24218.550903320313,1165.3617553710938,17012056064,4030738432,7118200832,0
200,1742840898298,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,68.04827880859375,0.79913330078125,1.3849868774414063,0.8666534423828125,1.4816970825195313,100,5.584968566894531,0.5287628173828125,3.3244476318359375,0.390838623046875,4.34649658203125,1.8020248413085938,4012.5733642578125,6144,189,5474,61,0,55966.14178466797,24220.12188720703,1165.365234375,17012056064,4030738432,7131201536,0
200,1742840898499,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2.6835861206054688,1.8092193603515625,1.53350830078125,0,94.76570129394531,5.209136962890625,2.3717803955078125,0.0299224853515625,3.5606536865234375,32.46100616455078,5.6486053466796875,1.531951904296875,4012.7305297851563,6144,189,5518,61,0,55969.85266113281,24221.44549560547,1165.3750610351563,17012056064,4030738432,7146803200,0
200,1742840898699,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.368896484375,1.9080047607421875,3.6198883056640625,0,100,0,68.72161865234375,0,3.8696823120117188,0.7978286743164063,5.630332946777344,2.4517822265625,4012.9224853515625,6144,189,5471,61,0,55973.841796875,24223.025756835938,1165.3795776367188,17012056064,4030738432,7147839488,0
