Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742840001668,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,41.333919525146484,3.7297439575195313,2.79669189453125,16.59819793701172,7.94189453125,1.8427505493164063,15.620140075683594,0.5007553100585938,4.988410949707031,2.0443038940429688,3.0190048217773438,2.4943771362304688,3363.96533203125,6144,189,6421,60,0,41716.1201171875,20105.867797851563,1119.9649658203125,17012056064,4030738432,6985711616,0
199,1742840001669,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,29.895530700683594,22.801292419433594,15.67529296875,2.8568191528320313,52.061458587646484,13.818504333496094,21.244979858398438,4.0736083984375,28.963661193847656,4.435966491699219,42.69447326660156,5.730186462402344,3363.998291015625,6144,189,5456,60,0,41716.75061035156,20106.14422607422,1119.9649658203125,17012056064,4030738432,6985535488,0
200,1742840001869,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,5.6946258544921875,8.543586730957031,2.69842529296875,1.3592147827148438,98.98258972167969,0.777618408203125,21.228561401367188,0.5547866821289063,3.7823257446289063,3.5949630737304688,10.629486083984375,1.7221832275390625,3364.158935546875,6144,189,5403,60,0,41720.47668457031,20107.468139648438,1119.9691162109375,17012056064,4030738432,7006400512,0
199,1742840002069,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.5550155639648438,76.29728698730469,2.1102371215820313,1.2869720458984375,100,0.9572525024414063,8.479240417480469,1.0413894653320313,6.608406066894531,2.0504302978515625,3.1369781494140625,2.8039169311523438,3364.3222045898438,6144,189,5388,60,0,41724.513671875,20109.11444091797,1119.982666015625,17012056064,4030738432,7014350848,0
200,1742840002270,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2.8215866088867188,2.0577545166015625,1.4825592041015625,1.7943878173828125,99.71310424804688,0.00310516357421875,31.20233154296875,0.0735626220703125,3.8339614868164063,0.1851348876953125,3.9209518432617188,1.384857177734375,3364.48046875,6144,189,5433,60,0,41728.175537109375,20110.39581298828,1119.9904174804688,17012056064,4030738432,7024197632,0
199,1742840002470,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.194976806640625,3.74334716796875,1.2351226806640625,0.1352691650390625,4.888946533203125,95.06676483154297,28.626197814941406,0.53436279296875,2.1656265258789063,48.43363952636719,4.2857666015625,1.4836349487304688,3364.6385498046875,6144,189,5378,60,0,41732.21008300781,20112.048889160156,1119.9959106445313,17012056064,4030738432,7044276224,0
200,1742840002670,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,5.3730316162109375,3.1654586791992188,2.6269607543945313,1.6591949462890625,21.055023193359375,79.68888092041016,35.765960693359375,1.1920700073242188,8.177513122558594,2.5489501953125,6.6716461181640625,2.2406387329101563,3364.859619140625,6144,189,5387,60,0,41736.02087402344,20113.45672607422,1120.001220703125,17012056064,4030738432,7061377024,0
200,1742840002870,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.7054595947265625,1.7969284057617188,0.986236572265625,0.5810165405273438,99.89389038085938,0.2158203125,71.57978057861328,0.0923004150390625,4.3129425048828125,2.4662857055664063,1.9970321655273438,1.3965606689453125,3365.0211181640625,6144,189,5387,60,0,41740.03625488281,20115.07012939453,1120.0060424804688,17012056064,4030738432,7085309952,0
200,1742840003071,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.2325363159179688,2.0326004028320313,32.63957214355469,0.6670074462890625,71.41999053955078,0.33290863037109375,3.5655441284179688,0.4116668701171875,2.738616943359375,3.3459701538085938,33.803443908691406,1.0958328247070313,3365.1714477539063,6144,189,5477,60,0,41743.767517089844,20116.431213378906,1120.0097045898438,17012056064,4030738432,7086759936,0
200,1742840003271,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.571502685546875,3.6507034301757813,2.6985015869140625,84.49588012695313,70.79638671875,2.137451171875,18.68273162841797,0.7134170532226563,3.7532196044921875,2.0806350708007813,4.268669128417969,1.9213409423828125,3365.3289184570313,6144,189,5443,60,0,41747.81237792969,20118.074340820313,1120.01904296875,17012056064,4030738432,7073644544,0
160,1742840003472,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,13.469497680664063,4.380828857421875,1.1122283935546875,33.517547607421875,29.680137634277344,2.4286117553710938,4.789283752441406,1.0444412231445313,12.490242004394531,0.7766494750976563,2.410552978515625,2.0361175537109375,3365.4808349609375,6144,189,5496,60,0,41751.165283203125,20119.054077148438,1120.0223388671875,17012056064,4030738432,6992535552,0
