Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740150609244,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,16.188568115234375,1.0229034423828125,0.72393798828125,99.01539611816406,69.77367401123047,7.7631988525390625,73.96165466308594,1.1019668579101563,20.317245483398438,19.891036987304688,13.8092041015625,1.5331192016601563,25103.449096679688,39363.432067871094,129970.1371459961,6760.616882324219,17012051968,15032385536,7821176832,0
199,1740150609245,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,24.230026245117188,6.372245788574219,6.8865509033203125,97.49597930908203,92.85132598876953,8.586349487304688,98.28034973144531,6.485435485839844,13.296531677246094,16.45386505126953,15.389503479003906,25.56444549560547,25103.457885742188,39363.56066894531,129970.20379638672,6760.616882324219,17012051968,15032385536,7822544896,0
200,1740150609445,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,15.251472473144531,19.207595825195313,11.189338684082031,70.54721069335938,14.196540832519531,7.6912384033203125,22.42176055908203,6.603363037109375,13.440010070800781,8.024375915527344,11.597152709960938,9.02239990234375,25103.704833984375,39367.62121582031,129971.8212890625,6760.637023925781,17012051968,15032385536,7827746816,0
199,1740150609645,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,11.849250793457031,3.0227890014648438,2.9913787841796875,81.73021697998047,15.525741577148438,6.8590545654296875,8.121330261230469,7.487709045410156,18.026206970214844,2.5843734741210938,11.683006286621094,2.1762542724609375,25103.932067871094,39371.498107910156,129973.28057861328,6760.649108886719,17012051968,15032385536,7828791296,0
200,1740150609845,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,17.709556579589844,7.272773742675781,9.567092895507813,74.21085357666016,20.42792510986328,6.342079162597656,13.311416625976563,4.9792022705078125,19.41588592529297,4.0839080810546875,13.280685424804688,3.2229080200195313,25104.171875,39375.494079589844,129974.86840820313,6760.655944824219,17012051968,15032385536,7834923008,0
199,1740150610046,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,38.52491760253906,22.388038635253906,31.42237091064453,54.71400833129883,29.402305603027344,19.12018585205078,26.998611450195313,24.20697784423828,31.48265838623047,10.742988586425781,28.599327087402344,13.468391418457031,25104.459228515625,39380.18963623047,129977.09088134766,6760.708312988281,17012051968,15032385536,7857778688,0
200,1740150610246,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,28.47148895263672,22.829360961914063,20.115020751953125,33.83851623535156,31.238075256347656,17.716773986816406,35.69226837158203,9.771690368652344,55.65573501586914,2.8873138427734375,53.40281295776367,7.50177001953125,25104.819580078125,39385.246643066406,129979.45397949219,6760.921325683594,17012051968,15032385536,7869931520,0
200,1740150610447,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,56.76763153076172,36.10037612915039,38.51466751098633,44.913963317871094,50.69264221191406,26.272994995117188,41.36296081542969,26.809921264648438,53.03428649902344,26.358917236328125,60.349517822265625,30.43536376953125,25105.168212890625,39390.923095703125,129982.57373046875,6761.012390136719,17012051968,15032385536,7872999424,0
200,1740150610647,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,46.70415496826172,21.409507751464844,35.18608093261719,35.513038635253906,66.80027770996094,23.728836059570313,36.485015869140625,23.62982940673828,33.61406707763672,26.333358764648438,33.173011779785156,37.63618850708008,25105.5166015625,39396.233337402344,129985.32305908203,6761.126770019531,17012051968,15032385536,7898931200,0
200,1740150610847,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,27.307525634765625,10.986831665039063,32.21586608886719,37.66290283203125,15.04974365234375,4.80133056640625,74.97126007080078,19.61168670654297,21.30290985107422,4.323577880859375,24.352584838867188,7.058479309082031,25105.845092773438,39400.87316894531,129987.39447021484,6761.233703613281,17012051968,15032385536,7911972864,0
200,1740150611047,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,32.2188720703125,12.707672119140625,22.147605895996094,39.54476547241211,25.432823181152344,26.95844268798828,51.36979675292969,10.766067504882813,28.429901123046875,15.928298950195313,27.79541015625,15.574264526367188,25106.182556152344,39405.618225097656,129989.56805419922,6761.342712402344,17012051968,15032385536,7924580352,0
200,1740150611248,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,26.233352661132813,55.73173141479492,31.356056213378906,34.02980041503906,36.12335968017578,21.21422576904297,30.063690185546875,27.216110229492188,45.15703582763672,9.422653198242188,36.63093185424805,11.494239807128906,25106.551696777344,39410.58605957031,129991.95922851563,6761.45703125,17012051968,15032385536,7884390400,0
200,1740150611448,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,47.700077056884766,32.19432067871094,22.286170959472656,47.872135162353516,36.48379898071289,15.152809143066406,25.815345764160156,25.276092529296875,20.722335815429688,58.57243347167969,30.820144653320313,9.187408447265625,25106.906860351563,39415.604064941406,129994.44659423828,6761.5238037109375,17012051968,15032385536,7884582912,0
200,1740150611649,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,18.780723571777344,42.01776123046875,24.242721557617188,52.42441177368164,26.844451904296875,8.213241577148438,22.078140258789063,13.7791748046875,16.245697021484375,3.45263671875,15.819664001464844,4.205474853515625,25107.195922851563,39419.98077392578,129996.3510131836,6761.569274902344,17012051968,15032385536,7886438400,0
200,1740150611849,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,19.85443115234375,15.235801696777344,11.942420959472656,68.01529693603516,21.835494995117188,15.455551147460938,31.59363555908203,9.923385620117188,24.661903381347656,3.9196701049804688,37.718597412109375,4.0900421142578125,25107.485961914063,39424.43701171875,129998.33123779297,6761.6072998046875,17012051968,15032385536,7896862720,0
200,1740150612049,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,27.446151733398438,8.611663818359375,7.386283874511719,80.39794921875,10.006263732910156,3.0716323852539063,11.298194885253906,9.956794738769531,15.939201354980469,1.5458297729492188,7.958343505859375,5.381767272949219,25107.7236328125,39428.45098876953,129999.92041015625,6761.613952636719,17012051968,15032385536,7894032384,0
