Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740151245317,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,100,100,100,100,100,100,100,100,100,100,100,100,25689.61151123047,46378.74267578125,132972.9864501953,6849.2431640625,17012051968,15032385536,7416926208,0
199,1740151245318,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,63.12855911254883,57.50074005126953,61.416175842285156,56.913753509521484,96.52665710449219,57.007606506347656,72.50469207763672,57.052886962890625,89.16422271728516,58.54463577270508,67.15760803222656,60.60443878173828,25689.61865234375,46378.8212890625,132973.04559326172,6849.2431640625,17012051968,15032385536,7416872960,0
3,1740151245518,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,16.419395446777344,6.628593444824219,19.1783447265625,33.47877502441406,42.695281982421875,9.027915954589844,24.415252685546875,7.7554931640625,30.302444458007813,7.1992034912109375,15.260368347167969,25.129898071289063,25689.799560546875,46381.216064453125,132974.57122802734,6849.2569580078125,17012051968,15032385536,7421779968,0
