Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743003330389,49896.87371826172,4650,0,1.225,4287.41325378418,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,39.9025764465332,38.12583541870117,19.96764373779297,5.731010437011719,96.14388275146484,17.600173950195313,73.7796859741211,22.077919006347656,37.58327102661133,13.024276733398438,30.48358154296875,8.222076416015625,34239672320,34583793664,13135228928,0
191,1743003330398,16042.52294921875,4650,0,1.2375,4288.341262817383,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,22.237144470214844,26.381622314453125,17.451156616210938,3.29962158203125,100,22.834915161132813,62.96367263793945,18.474037170410156,19.95886993408203,0.2332763671875,61.65610122680664,1.0888748168945313,34239672320,34583793664,13135319040,0
199,1743003330589,38661.65106201172,4600,0,1.225,4301.47541809082,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,50.97286605834961,6.298583984375,3.120269775390625,2.8033599853515625,93.20890045166016,6.1931610107421875,55.08586502075195,13.38726806640625,6.8337860107421875,5.9818878173828125,8.933731079101563,5.59417724609375,34239672320,34583793664,13143072768,0
199,1743003330789,34505.22431945801,4650,0,1.23125,4314.8370361328125,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,49.37126159667969,5.211036682128906,3.7531356811523438,1.1075820922851563,56.915531158447266,12.948966979980469,47.2662467956543,36.857704162597656,3.8908462524414063,1.35565185546875,9.506004333496094,3.1921615600585938,34239672320,34583793664,13155823616,0
200,1743003330989,49898.72378540039,3679.9999999999995,1,1.20625,4328.3182373046875,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,45.44353103637695,2.0309600830078125,2.2911300659179688,1.096405029296875,79.73117065429688,4.144020080566406,63.72993087768555,6.583915710449219,2.5340957641601563,1.2173080444335938,10.699226379394531,4.2975006103515625,34239672320,34583793664,13158764544,0
4,1743003331190,34508.0997467041,4650,0,1.24375,4341.225433349609,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,25.810035705566406,11.35772705078125,3.1046524047851563,2.0134735107421875,84.16400146484375,2.2197265625,52.34042739868164,3.8815460205078125,4.530433654785156,3.9595413208007813,11.126655578613281,8.630714416503906,34239672320,34583793664,13143232512,0
