Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742749397575,6796.40705871582,4650,0,1.19375,31407.70948791504,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,32.79457092285156,15.826309204101563,9.401138305664063,6.917274475097656,38.558780670166016,35.75720977783203,71.42778015136719,22.292579650878906,12.393775939941406,12.360450744628906,9.754386901855469,21.372787475585938,34239672320,34583793664,9389834240,0
190,1742749397584,9307.812896728516,4650,0,1.19375,31408.404525756836,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,36.02621841430664,0,2.5320205688476563,0,49.868343353271484,16.631752014160156,55.48916244506836,15.933120727539063,0,25.172622680664063,5.920814514160156,21.550674438476563,34239672320,34583793664,9388662784,0
200,1742749397775,6797.745346069336,4650,0,1.20625,31416.703994750977,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.137245178222656,2.1523666381835938,1.194793701171875,0.3140716552734375,70.50271606445313,2.855743408203125,25.08831787109375,5.919921875,0.06673431396484375,0,2.364532470703125,0.45446014404296875,34239672320,34583793664,9411674112,0
200,1742749397975,9309.166778564453,3720.0000000000005,0,1.20625,31425.88441467285,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,15.149726867675781,2.2786483764648438,2.0557403564453125,0.2885894775390625,72.8201904296875,3.3356246948242188,21.47423553466797,6.414558410644531,5.1946258544921875,5.370735168457031,3.0386199951171875,0.958953857421875,34239672320,34583793664,9430077440,0
3,1742749398175,6800.060455322266,4650,0,1.18125,31433.447845458984,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.5412445068359375,0.255828857421875,1.6109085083007813,0,43.17448806762695,4.241020202636719,13.693389892578125,0.5809249877929688,0,0.35494232177734375,0.21661376953125,0.0878448486328125,34239672320,34583793664,9395683328,0
