Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742748886253,6182.129898071289,3720.0000000000005,0,1.20625,15196.843566894531,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.5924530029296875,0,17.356033325195313,0,15.846054077148438,7.862403869628906,21.4747314453125,48.373146057128906,17.379783630371094,0,82.46022033691406,0,34239672320,34583793664,9697357824,0
195,1742748886257,6182.161727905273,4650,0,1.1875,15197.222152709961,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,54.73500061035156,10.178558349609375,4.195793151855469,17.778953552246094,47.25790023803711,38.8676643371582,15.2861328125,58.3929443359375,34.23020935058594,3.5820770263671875,50.88603591918945,6.318756103515625,34239672320,34583793664,9697447936,0
200,1742748886453,6183.679443359375,4650,0,1.19375,15206.274154663086,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,5.2832489013671875,5.7380828857421875,1.742645263671875,4.476478576660156,82.80612182617188,6.3897857666015625,13.490798950195313,7.423736572265625,1.192626953125,0.46555328369140625,4.0206298828125,3.9102096557617188,34239672320,34583793664,9719894016,0
200,1742748886654,64753.83296203613,3720.0000000000005,0,1.2,15215.698516845703,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,21.147872924804688,4.895011901855469,1.8463592529296875,0,76.91736602783203,12.588607788085938,3.3341751098632813,21.33600616455078,0.7676849365234375,0.346954345703125,2.499420166015625,7.955497741699219,34239672320,34583793664,9727225856,0
3,1742748886854,6186.139236450195,4650,0,1.1625,15223.831848144531,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.097908020019531,3.7728195190429688,1.4007186889648438,0,44.21260070800781,3.5641555786132813,14.257369995117188,11.252281188964844,3.06048583984375,0.492218017578125,3.9930953979492188,2.0459136962890625,34239672320,34583793664,9703817216,0
