Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1740440759626,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.095542907714844,0.16357421875,22.11200714111328,0.2174530029296875,5.2103118896484375,5.819343566894531,1.80914306640625,1.2973175048828125,0.9059371948242188,1.8490371704101563,8.570594787597656,2.4453887939453125,7459.1343994140625,4096,241,56,4,87228.17919921875,78077.92956542969,733.1314086914063,16976154624,5100273664,7891009536,0
200,1740440759826,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.656356811523438,0.7369003295898438,19.049392700195313,9.836463928222656,4.263519287109375,4.411888122558594,6.517021179199219,4.307121276855469,2.2046966552734375,1.4322433471679688,8.001716613769531,5.439323425292969,7459.334533691406,4096,241,56,4,87228.99865722656,78078.48028564453,733.1536254882813,16976154624,5100273664,7890599936,0
200,1740440760027,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.5554962158203125,2.4490127563476563,20.08867645263672,0.564453125,19.87268829345703,4.791038513183594,4.8486785888671875,1.3412246704101563,2.3779525756835938,0.9323043823242188,7.382728576660156,2.28619384765625,7459.550964355469,4096,241,56,4,87230.60192871094,78079.8148803711,733.1771850585938,16976154624,5100273664,7889031168,0
200,1740440760228,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.0951080322265625,1.4818267822265625,16.061935424804688,0.354766845703125,2.69293212890625,3.70941162109375,3.1059036254882813,0.9300079345703125,5.832344055175781,2.13177490234375,7.7570343017578125,1.9564132690429688,7459.758056640625,4096,241,56,4,87231.85754394531,78080.82556152344,733.2005615234375,16976154624,5100273664,7892848640,0
200,1740440760429,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.294975280761719,0.28783416748046875,18.854751586914063,3.4499359130859375,3.8654556274414063,4.104866027832031,4.472572326660156,1.1460342407226563,1.1968994140625,0.6848831176757813,7.198883056640625,5.135688781738281,7459.962951660156,4096,241,56,4,87232.578125,78081.30749511719,733.2222900390625,16976154624,5100273664,7892791296,0
200,1740440760629,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.184104919433594,0.3024139404296875,18.70586395263672,0.38187408447265625,2.5519943237304688,4.1967926025390625,2.821807861328125,1.2610702514648438,2.5537948608398438,2.6745986938476563,7.514274597167969,1.6872482299804688,7460.170654296875,4096,241,56,4,87233.6259765625,78082.11102294922,733.2449340820313,16976154624,5100273664,7892307968,0
200,1740440760830,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.420066833496094,0.2836456298828125,19.6065673828125,0.04180908203125,1.8867034912109375,4.314826965332031,2.6451644897460938,0.9202957153320313,2.5958404541015625,3.2675247192382813,10.153648376464844,2.150360107421875,7460.3817138671875,4096,241,56,4,87234.31243896484,78082.55407714844,733.2661743164063,16976154624,5100273664,7892303872,0
200,1740440761031,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.066398620605469,2.939666748046875,20.600021362304688,0.31948089599609375,14.737258911132813,5.582862854003906,2.5023193359375,1.6249618530273438,3.34930419921875,3.726104736328125,8.057838439941406,2.3094100952148438,7460.595458984375,4096,241,56,4,87235.56146240234,78083.56134033203,733.2887573242188,16976154624,5100273664,7888609280,0
200,1740440761231,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.1536712646484375,0.21909332275390625,14.282508850097656,5.105079650878906,1.4495773315429688,3.4334259033203125,2.012298583984375,0.8318939208984375,6.1715850830078125,1.4556427001953125,8.37030029296875,1.7031326293945313,7460.8043212890625,4096,241,56,4,87236.83624267578,78084.59405517578,733.31201171875,16976154624,5100273664,7892819968,0
200,1740440761432,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.126129150390625,1.645721435546875,22.40825653076172,4.42498779296875,3.229888916015625,5.113670349121094,3.1238327026367188,2.1297073364257813,6.578712463378906,1.8224334716796875,7.598731994628906,2.8104171752929688,7461.011291503906,4096,241,56,3,87237.57330322266,78085.06518554688,733.3352661132813,16976154624,5100273664,7892705280,0
200,1740440761633,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.001380920410156,0.7426300048828125,23.3143310546875,0.340057373046875,4.7491912841796875,4.08758544921875,4.862693786621094,1.9059906005859375,1.3803176879882813,2.6057510375976563,8.173820495605469,3.0721435546875,7461.2166748046875,4096,241,56,4,87238.22467041016,78085.47064208984,733.3569946289063,16976154624,5100273664,7892705280,0
200,1740440761833,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.9391937255859375,1.07989501953125,31.397972106933594,0.25029754638671875,4.737640380859375,3.8679351806640625,11.323051452636719,8.59124755859375,11.210159301757813,1.0229949951171875,7.901176452636719,9.187942504882813,7461.42919921875,4096,241,56,4,87240.88568115234,78087.88983154297,733.3837280273438,16976154624,5100273664,7891521536,0
200,1740440762034,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.2285614013671875,2.72967529296875,19.62389373779297,1.10400390625,14.882217407226563,3.6423492431640625,3.9579010009765625,1.2691192626953125,2.2997512817382813,3.1216888427734375,6.997406005859375,1.8456497192382813,7461.6441650390625,4096,241,56,4,87242.25256347656,78088.98919677734,733.4095458984375,16976154624,5100273664,7889465344,0
200,1740440762235,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.8940277099609375,0.031768798828125,16.017173767089844,0.04044342041015625,4.094779968261719,3.1509552001953125,3.3008499145507813,5.3754425048828125,1.0863723754882813,2.472442626953125,6.299835205078125,1.8232345581054688,7461.851318359375,4096,241,56,4,87243.47595214844,78089.96270751953,733.4363403320313,16976154624,5100273664,7892709376,0
199,1740440762436,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.603630065917969,0.3946533203125,25.7901611328125,2.1469268798828125,5.731414794921875,5.576438903808594,3.7033462524414063,1.7020950317382813,4.0091705322265625,2.8317337036132813,10.064163208007813,4.260833740234375,7462.052551269531,4096,241,56,4,87244.09240722656,78090.32788085938,733.4593505859375,16976154624,5100273664,7892262912,0
200,1740440762636,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,11.796234130859375,1.4387664794921875,17.71855926513672,0.6176605224609375,6.4454193115234375,5.319084167480469,21.851463317871094,1.0093307495117188,5.7559814453125,1.8815536499023438,8.263114929199219,39.44429016113281,7462.3018798828125,4096,241,56,4,87247.38983154297,78093.34289550781,733.5023193359375,16976154624,5100273664,7919149056,0
200,1740440762836,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.6681671142578125,0.322357177734375,17.730270385742188,7.2993316650390625,3.6818389892578125,3.6884765625,5.060874938964844,1.3942184448242188,1.451019287109375,1.7989349365234375,6.259971618652344,2.032501220703125,7462.505126953125,4096,253,56,4,87248.6607055664,78094.34649658203,733.5272216796875,16976154624,5100273664,7919067136,0
200,1740440763037,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.379058837890625,1.0324020385742188,26.870811462402344,0.114654541015625,4.2414093017578125,5.17669677734375,5.2714996337890625,1.2482681274414063,4.936988830566406,3.2654266357421875,8.684837341308594,1.9934616088867188,7462.715270996094,4096,253,56,6,87249.53015136719,78094.96435546875,733.5498046875,16976154624,5100273664,7918899200,0
200,1740440763238,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.7761993408203125,2.1410446166992188,17.256973266601563,0.49311065673828125,4.21063232421875,3.8937530517578125,1.36297607421875,4.808563232421875,0.8061904907226563,2.4167709350585938,15.614830017089844,2.7778854370117188,7462.9295654296875,4096,253,56,7,87251.32751464844,78096.50463867188,733.57421875,16976154624,5100273664,7919013888,0
200,1740440763438,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.8388671875,0.08759307861328125,27.38990020751953,0.0633087158203125,2.2154388427734375,6.0896759033203125,4.494781494140625,1.0201492309570313,0.952239990234375,2.2462005615234375,8.740074157714844,3.1042633056640625,7463.1376953125,4096,253,56,7,87252.06469726563,78096.98858642578,733.5970458984375,16976154624,5100273664,7919017984,0
200,1740440763639,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.149749755859375,0.0722503662109375,20.980972290039063,0.1580657958984375,4.003684997558594,5.021240234375,1.9674758911132813,1.227874755859375,0.7898483276367188,1.8055419921875,6.124809265136719,1.7156982421875,7463.345703125,4096,253,56,8,87253.15692138672,78097.83032226563,733.6212768554688,16976154624,5100273664,7918575616,0
200,1740440763840,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.95062255859375,0.14089202880859375,30.68968963623047,0,2.9261322021484375,6.1511993408203125,5.824729919433594,1.0446090698242188,1.0318374633789063,1.9376373291015625,9.369308471679688,2.163909912109375,7463.549621582031,4096,253,56,7,87254.08489990234,78098.46612548828,733.6448364257813,16976154624,5100273664,7918551040,0
200,1740440764041,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.577735900878906,0.5858840942382813,21.54254150390625,0.6094284057617188,2.1359481811523438,4.246002197265625,3.5745315551757813,1.2569503784179688,1.7244491577148438,2.6283950805664063,6.526237487792969,2.555999755859375,7463.7515869140625,4096,253,56,7,87255.1176147461,78099.23992919922,733.670166015625,16976154624,5100273664,7918280704,0
200,1740440764242,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.011405944824219,1.7638931274414063,13.503036499023438,3.8646926879882813,11.467422485351563,1.3633956909179688,1.9925918579101563,4.2215118408203125,1.5757522583007813,1.5287551879882813,5.665077209472656,1.7623291015625,7463.9683837890625,4096,253,56,7,87257.01171875,78100.8685913086,733.6961669921875,16976154624,5100273664,7918764032,0
200,1740440764442,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.05511474609375,0,22.630149841308594,1.285858154296875,3.3203811645507813,3.4916000366210938,1.6673507690429688,1.1373214721679688,1.023406982421875,0.5958480834960938,6.2576751708984375,3.3644027709960938,7464.174133300781,4096,253,56,7,87257.90100097656,78101.49444580078,733.7215576171875,16976154624,5100273664,7918784512,0
200,1740440764643,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.371360778808594,0.1928253173828125,19.885589599609375,0.39774322509765625,4.986183166503906,4.112586975097656,1.79351806640625,1.1719970703125,1.0356826782226563,1.4157180786132813,6.608360290527344,2.6343841552734375,7464.3773193359375,4096,253,56,7,87258.82556152344,78102.17028808594,733.7442016601563,16976154624,5100273664,7918784512,0
200,1740440764844,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.958732604980469,0.239105224609375,28.149887084960938,0.425323486328125,3.9047088623046875,5.151519775390625,3.5428695678710938,1.9151687622070313,1.1207427978515625,1.87860107421875,7.8216094970703125,2.8424758911132813,7464.577087402344,4096,253,56,7,87259.5023803711,78102.59741210938,733.7639770507813,16976154624,5100273664,7918358528,0
200,1740440765044,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.987152099609375,0.10318756103515625,27.63159942626953,0.7802734375,5.326820373535156,5.774627685546875,2.4102096557617188,1.7746200561523438,1.504852294921875,1.4125595092773438,9.131942749023438,2.2351303100585938,7464.779724121094,4096,253,56,7,87260.18060302734,78103.03088378906,733.7837524414063,16976154624,5100273664,7918358528,0
200,1740440765245,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.7172317504882813,1.823638916015625,17.28863525390625,0.32855987548828125,13.082725524902344,3.213104248046875,2.9460601806640625,5.100181579589844,0.33927154541015625,1.5683670043945313,6.089912414550781,1.5716476440429688,7464.99462890625,4096,253,56,7,87261.96826171875,78104.56854248047,733.8070068359375,16976154624,5100273664,7918829568,0
200,1740440765445,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.646629333496094,0,21.342369079589844,1.2481231689453125,1.1757049560546875,4.523063659667969,11.306297302246094,0.8886795043945313,5.9247589111328125,1.4735183715820313,7.1518707275390625,1.9487686157226563,7465.224060058594,4096,253,56,7,87263.38360595703,78105.69952392578,733.8426513671875,16976154624,5100273664,7937601536,0
200,1740440765646,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,12.745704650878906,2.04998779296875,18.831993103027344,0.827484130859375,8.586189270019531,4.329139709472656,41.028263092041016,1.3604812622070313,4.4835052490234375,2.0702896118164063,6.384376525878906,2.2719497680664063,7465.461608886719,4096,253,56,7,87266.36944580078,78108.41192626953,733.8716430664063,16976154624,5100273664,7928668160,0
200,1740440765847,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.272102355957031,0.30272674560546875,50.66849136352539,6.35687255859375,3.679901123046875,3.83917236328125,2.1695404052734375,1.8226242065429688,2.0185546875,1.2822494506835938,3.7311630249023438,1.3985366821289063,7465.671813964844,4096,253,56,8,87269.11242675781,78110.90423583984,733.892822265625,16976154624,5100273664,7929221120,0
200,1740440766048,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.50274658203125,59.566009521484375,50.954647064208984,5.216667175292969,9.595588684082031,1.8511810302734375,21.347946166992188,6.091987609863281,48.7538948059082,6.2016448974609375,31.970046997070313,5.395881652832031,7465.942565917969,4096,253,56,0,87276.14147949219,78117.68194580078,733.8948974609375,16976154624,5100273664,7928315904,0
200,1740440766249,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,34.132415771484375,17.78752899169922,32.63841247558594,68.70834350585938,15.106353759765625,74.17977905273438,65.41069030761719,35.4791259765625,55.81278991699219,16.177444458007813,31.983169555664063,10.66943359375,7466.249267578125,4096,253,56,2,87286.21520996094,78127.41687011719,733.9219360351563,16976154624,5100273664,7928246272,0
200,1740440766449,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,46.28265380859375,46.02948760986328,61.00135040283203,53.39484405517578,59.47113800048828,32.46857452392578,40.304901123046875,53.10893249511719,47.971435546875,28.00133514404297,45.79124450683594,26.42498016357422,7466.583923339844,4096,241,56,8,87293.87493896484,78134.70263671875,733.9509887695313,16976154624,5100273664,7928385536,0
200,1740440766649,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,48.26314926147461,37.773014068603516,68.99967956542969,40.7396125793457,45.20103073120117,41.895023345947266,45.97731399536133,34.08056640625,46.78325653076172,44.59930419921875,47.735958099365234,38.3623161315918,7466.818420410156,4096,241,56,4,87295.32849121094,78135.8759765625,733.974853515625,16976154624,5100273664,7928188928,0
200,1740440766850,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,35.34697723388672,25.545196533203125,47.70500946044922,31.26702117919922,33.669029235839844,26.128265380859375,30.174171447753906,21.900344848632813,29.477928161621094,30.45368194580078,35.632667541503906,21.694374084472656,7467.107238769531,4096,253,56,4,87302.63903808594,78142.806640625,734.0037231445313,16976154624,5100273664,7928193024,0
200,1740440767051,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,43.63810729980469,41.438053131103516,60.084964752197266,45.9295654296875,46.576202392578125,37.57422637939453,44.31041717529297,32.40808868408203,40.73860549926758,42.318607330322266,46.98564910888672,33.93341827392578,7467.438232421875,4096,253,56,4,87311.8558959961,78151.62463378906,734.0332641601563,16976154624,5100273664,7928078336,0
200,1740440767253,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,53.31520462036133,55.56474685668945,72.20558166503906,55.02333450317383,58.199283599853516,57.691715240478516,43.89203643798828,49.11011505126953,57.7681999206543,55.58029556274414,53.795677185058594,53.073890686035156,7467.8388671875,4096,253,56,4,87321.51885986328,78160.89837646484,734.0635375976563,16976154624,5100273664,7927590912,0
200,1740440767453,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,16.445289611816406,18.467086791992188,31.706092834472656,13.300270080566406,16.861862182617188,8.7467041015625,13.758712768554688,6.2793731689453125,12.602577209472656,10.802734375,19.50098419189453,8.509613037109375,7468.0792236328125,4096,271,56,5,87325.8910522461,78164.89599609375,734.0918579101563,16976154624,5100273664,7927676928,0
201,1740440767654,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,9.804374694824219,10.962562561035156,20.873916625976563,8.974899291992188,8.154876708984375,5.568168640136719,5.59124755859375,3.9058456420898438,3.4452743530273438,4.6125640869140625,9.258255004882813,2.5897369384765625,7468.3016357421875,4096,271,56,4,87328.93371582031,78167.5824584961,734.119873046875,16976154624,5100273664,7927705600,0
200,1740440767856,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.392127990722656,9.154457092285156,16.554344177246094,9.549636840820313,4.343330383300781,5.0500946044921875,3.6057662963867188,4.401756286621094,2.4068832397460938,3.178680419921875,8.405891418457031,1.9974136352539063,7468.518737792969,4096,271,56,4,87331.93774414063,78170.24530029297,734.1492309570313,16976154624,5100273664,7926726656,0
