Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740441273383,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.4194183349609375,1.7409439086914063,18.674591064453125,1.2466812133789063,61.573307037353516,1.4871978759765625,43.19575881958008,1.2434768676757813,6.320404052734375,2.3410415649414063,13.100593566894531,2.198333740234375,8014.360595703125,4096,234,55,4,91662.04132080078,81819.19116210938,797.6641235351563,16976154624,5100273664,7955955712,0
189,1740441273394,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.9710769653320313,0.1742706298828125,14.207008361816406,0.24755096435546875,88.82752227783203,0.27748870849609375,27.917564392089844,0.6322860717773438,6.584716796875,5.2374725341796875,5.593162536621094,1.1568832397460938,8014.389892578125,4096,234,55,4,91662.5980834961,81819.69946289063,797.6663208007813,16976154624,5100273664,7969751040,0
200,1740441273584,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,9.826881408691406,0.24272918701171875,35.40894317626953,0.1825714111328125,91.0210952758789,0.485198974609375,17.772445678710938,0.41072845458984375,5.697257995605469,1.0714950561523438,5.26153564453125,2.9598617553710938,8014.593566894531,4096,234,55,3,91667.47033691406,81824.32006835938,797.6903076171875,16976154624,5100273664,7999107072,0
200,1740441273785,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,9.216529846191406,0.2217559814453125,22.49669647216797,0.456329345703125,15.61065673828125,4.185050964355469,5.1680908203125,1.2847366333007813,4.554710388183594,0.8174209594726563,12.512588500976563,2.6008987426757813,8014.802734375,4096,234,55,4,91669.46966552734,81826.05267333984,797.7207641601563,16976154624,5100273664,7999754240,0
199,1740441273985,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,10.049293518066406,0.12702178955078125,17.38141632080078,0.1137237548828125,5.212104797363281,7.3083648681640625,6.3791351318359375,4.588935852050781,4.817283630371094,0.9842376708984375,10.135261535644531,2.6281585693359375,8015.009338378906,4096,234,55,4,91670.33819580078,81826.67895507813,797.7433471679688,16976154624,5100273664,7991799808,0
200,1740441274186,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,10.343025207519531,0.42431640625,23.69733428955078,0.6938629150390625,3.1812286376953125,5.9223175048828125,7.6809539794921875,2.8546829223632813,2.7179183959960938,2.6821136474609375,11.645065307617188,2.59637451171875,8015.2218017578125,4096,234,55,4,91671.5825805664,81827.63610839844,797.7662353515625,16976154624,5100273664,7995572224,0
200,1740441274386,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.605964660644531,2.43682861328125,16.657821655273438,0.3332366943359375,16.566688537597656,2.7341461181640625,2.1431427001953125,0.715118408203125,0.363189697265625,1.9169921875,5.9729766845703125,3.3134918212890625,8015.4404296875,4096,234,55,4,91673.48254394531,81829.27166748047,797.7909545898438,16976154624,5100273664,7995551744,0
200,1740441274588,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.610870361328125,0.5048828125,22.661041259765625,2.0053558349609375,4.780036926269531,4.7005462646484375,2.273193359375,1.4915084838867188,1.5652847290039063,2.0294876098632813,8.079696655273438,2.8984527587890625,8015.6474609375,4096,234,55,4,91674.3052368164,81829.83758544922,797.8155517578125,16976154624,5100273664,7995506688,0
200,1740441274788,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,14.878753662109375,0.29102325439453125,29.445816040039063,6.00787353515625,11.148468017578125,3.5143661499023438,9.247207641601563,5.0776519775390625,2.604705810546875,1.1410064697265625,19.456558227539063,1.9786300659179688,8015.856384277344,4096,234,55,4,91676.48907470703,81831.79809570313,797.8425903320313,16976154624,5100273664,7995469824,0
199,1740441274988,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.706626892089844,0.2542877197265625,17.40593719482422,1.12738037109375,3.8371429443359375,4.3359832763671875,3.9763259887695313,0.856109619140625,3.3009567260742188,2.0605621337890625,7.1389923095703125,2.0382156372070313,8016.061584472656,4096,234,55,4,91677.82904052734,81832.83837890625,797.868896484375,16976154624,5100273664,7995383808,0
200,1740441275188,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.620582580566406,0.7293624877929688,19.822158813476563,9.272003173828125,4.6332244873046875,5.587455749511719,3.03594970703125,1.8763046264648438,1.6083831787109375,2.0404129028320313,9.685035705566406,3.6582489013671875,8016.264892578125,4096,234,55,4,91678.63720703125,81833.3666381836,797.890869140625,16976154624,5100273664,7997104128,0
200,1740441275389,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.018585205078125,1.9231643676757813,17.507301330566406,0.12235260009765625,12.627738952636719,3.9081878662109375,5.765495300292969,0.8959808349609375,0.727325439453125,5.424690246582031,7.504310607910156,1.7772598266601563,8016.481872558594,4096,234,55,4,91680.30560302734,81834.76672363281,797.9137573242188,16976154624,5100273664,7994798080,0
200,1740441275591,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.746116638183594,0.309051513671875,23.69029998779297,0.28701019287109375,4.6132659912109375,7.222404479980469,2.652496337890625,1.6130142211914063,0.7510528564453125,2.2730484008789063,7.809410095214844,3.57373046875,8016.693603515625,4096,234,55,4,91681.14715576172,81835.34832763672,797.9365844726563,16976154624,5100273664,7994314752,0
