Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740218716752,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,17.916114807128906,22.85302734375,22.4444580078125,20.74040985107422,44.77970886230469,34.21912384033203,49.35039520263672,19.027236938476563,19.563278198242188,41.509056091308594,19.890464782714844,15.014595031738281,7329.6153564453125,93124.35998535156,31617.239990234375,1606.3836669921875,17012051968,15032385536,9377476608,0
199,1740218716753,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,0,0,33.40851593017578,0,90.59935760498047,0,83.85958862304688,0,0,100,11.83837890625,0,7329.625183105469,93124.46276855469,31617.31494140625,1606.3836669921875,17012051968,15032385536,9377116160,0
7,1740218716954,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,54.301856994628906,42.523887634277344,47.87895584106445,50.70062255859375,68.75292205810547,54.89052963256836,60.85657501220703,42.263916015625,48.55217361450195,54.816246032714844,59.9062385559082,42.909332275390625,7329.908996582031,93128.77313232422,31620.680236816406,1606.402587890625,17012051968,15032385536,9399033856,0
