Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740151203371,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,60.38190841674805,11.881538391113281,13.974365234375,75.25271606445313,45.998756408691406,53.0448112487793,35.834571838378906,21.19037628173828,78.78518676757813,36.76545715332031,34.91924285888672,15.16851806640625,25653.950134277344,45976.01672363281,132815.72259521484,6844.366455078125,17012051968,15032385536,7676284928,0
198,1740151203373,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,9.390792846679688,4.5908050537109375,84.01506042480469,4.561836242675781,74.85437774658203,4.738838195800781,30.508804321289063,9.731918334960938,11.308853149414063,10.65716552734375,20.640106201171875,4.762977600097656,25653.95880126953,45976.14715576172,132815.77770996094,6844.366455078125,17012051968,15032385536,7676301312,0
200,1740151203572,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,7.780586242675781,3.23193359375,6.831718444824219,3.563568115234375,8.044586181640625,22.392242431640625,18.4124755859375,2.31292724609375,12.985359191894531,2.214569091796875,4.437751770019531,2.2647857666015625,25654.15704345703,45979.38098144531,132816.64166259766,6844.3765869140625,17012051968,15032385536,7678148608,0
200,1740151203772,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,10.132186889648438,4.0371246337890625,13.229339599609375,5.5630035400390625,13.188674926757813,27.042037963867188,17.932106018066406,7.2049407958984375,23.861907958984375,5.9088897705078125,10.702224731445313,5.296600341796875,25654.391967773438,45982.96911621094,132817.8077392578,6844.398742675781,17012051968,15032385536,7697395712,0
200,1740151203973,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,22.68268585205078,14.955482482910156,18.129844665527344,15.313667297363281,35.12421417236328,13.269989013671875,24.185714721679688,9.767341613769531,15.230888366699219,26.276588439941406,16.469573974609375,16.263092041015625,25654.636657714844,45986.879333496094,132819.32122802734,6844.404724121094,17012051968,15032385536,7698120704,0
200,1740151204173,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,12.559211730957031,1.5463333129882813,8.62542724609375,9.470245361328125,21.33184051513672,8.750694274902344,18.343116760253906,2.3575363159179688,9.213661193847656,10.800498962402344,5.423179626464844,9.852745056152344,25654.88690185547,45990.392639160156,132820.34887695313,6844.475280761719,17012051968,15032385536,7716515840,0
200,1740151204374,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,6.7564849853515625,0.42612457275390625,8.377876281738281,2.2039108276367188,7.335441589355469,6.2735748291015625,9.624656677246094,1.1500320434570313,3.7009353637695313,1.66351318359375,11.138450622558594,0.5200119018554688,25655.07745361328,45993.3486328125,132820.94213867188,6844.4813232421875,17012051968,15032385536,7715856384,0
199,1740151204574,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,61.57456970214844,24.343917846679688,42.32943344116211,29.77812957763672,54.14025115966797,35.1689453125,29.153656005859375,30.19690704345703,36.63979721069336,22.34326171875,44.02817916870117,36.076576232910156,25655.3818359375,45998.64923095703,132823.75732421875,6844.5233154296875,17012051968,15032385536,7742169088,0
200,1740151204775,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,25.617935180664063,7.367958068847656,18.73401641845703,11.8607177734375,14.970542907714844,55.117958068847656,30.413414001464844,10.791374206542969,16.833412170410156,8.26739501953125,14.8538818359375,12.095932006835938,25655.712951660156,46003.052978515625,132825.48046875,6844.768981933594,17012051968,15032385536,7744073728,0
200,1740151204975,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,14.477882385253906,2.3870468139648438,13.330863952636719,7.5560150146484375,14.110023498535156,16.31476593017578,15.484848022460938,6.62939453125,13.670242309570313,4.180877685546875,5.77569580078125,8.07183837890625,25655.995544433594,46006.64044189453,132826.50299072266,6844.899353027344,17012051968,15032385536,7743373312,0
200,1740151205176,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,12.682708740234375,1.8540115356445313,10.045524597167969,6.1607208251953125,17.574623107910156,11.60638427734375,13.017311096191406,4.172019958496094,8.752204895019531,6.3946380615234375,6.654632568359375,6.060035705566406,25656.2646484375,46010.05419921875,132827.3878173828,6845.022155761719,17012051968,15032385536,7749058560,0
200,1740151205376,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,21.151206970214844,2.2552719116210938,17.04157257080078,7.074287414550781,18.82880401611328,3.9768753051757813,10.141746520996094,2.8567733764648438,7.4656524658203125,3.7185211181640625,30.58934783935547,7.261932373046875,25656.532470703125,46013.69128417969,132828.51794433594,6845.111572265625,17012051968,15032385536,7749369856,0
200,1740151205576,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,17.827499389648438,13.993644714355469,32.45927429199219,12.357421875,12.485076904296875,82.65324401855469,24.011322021484375,7.767601013183594,23.82726287841797,9.276016235351563,22.212547302246094,18.52093505859375,25656.846130371094,46018.180603027344,132830.52154541016,6845.169860839844,17012051968,15032385536,7770501120,0
200,1740151205777,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,3.90252685546875,2.7274932861328125,1.839996337890625,2.4180450439453125,9.019027709960938,4.0459136962890625,3.879364013671875,2.5075454711914063,3.3245697021484375,0.8590087890625,3.03619384765625,3.46636962890625,25657.033264160156,46020.99981689453,132830.95739746094,6845.1763916015625,17012051968,15032385536,7769501696,0
199,1740151205977,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,11.351173400878906,7.499015808105469,12.058372497558594,4.63543701171875,8.468223571777344,32.21178436279297,17.647926330566406,4.5540924072265625,8.451591491699219,1.8453521728515625,4.706451416015625,16.011390686035156,25657.269409179688,46024.59552001953,132832.08044433594,6845.243225097656,17012051968,15032385536,7772372992,0
200,1740151206177,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,11.00146484375,5.775550842285156,19.76837921142578,3.5372390747070313,7.454010009765625,29.013885498046875,25.49658203125,3.1770477294921875,20.829566955566406,5.603546142578125,11.46026611328125,8.463134765625,25657.515075683594,46028.27734375,132833.33056640625,6845.271667480469,17012051968,15032385536,7782084608,0
199,1740151206378,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,6.951683044433594,3.6871109008789063,9.597724914550781,5.0019683837890625,16.110763549804688,6.419975280761719,7.222808837890625,8.014854431152344,5.59637451171875,3.6857223510742188,4.296546936035156,5.000831604003906,25657.715087890625,46031.29376220703,132833.97802734375,6845.274353027344,17012051968,15032385536,7775715328,0
200,1740151206578,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,23.278587341308594,29.900245666503906,26.10144805908203,29.105728149414063,27.896568298339844,70.15679168701172,31.45134735107422,24.6934814453125,33.90831756591797,25.670639038085938,15.145744323730469,34.719810485839844,25658.01904296875,46035.936767578125,132836.1903076172,6845.283935546875,17012051968,15032385536,7774810112,0
199,1740151206778,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,16.44866943359375,2.6935501098632813,9.919677734375,7.081947326660156,16.22321319580078,20.73816680908203,63.7531852722168,2.04705810546875,39.03057861328125,1.92755126953125,8.563743591308594,5.687980651855469,25658.298828125,46040.060119628906,132837.82153320313,6845.3323974609375,17012051968,15032385536,7805759488,0
199,1740151206979,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,15.168586730957031,2.9081802368164063,5.786735534667969,4.393310546875,5.919410705566406,11.795646667480469,7.402679443359375,3.3425064086914063,5.247718811035156,2.5335311889648438,4.893669128417969,5.5971527099609375,25658.49591064453,46043.050537109375,132838.4428100586,6845.3382568359375,17012051968,15032385536,7783936000,0
200,1740151207179,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2.7155532836914063,0.20287322998046875,1.1849899291992188,2.3813400268554688,4.3354644775390625,4.3239593505859375,4.740867614746094,3.1328125,0.651458740234375,8.17291259765625,1.05621337890625,0.31529998779296875,25658.68084716797,46045.75762939453,132838.78717041016,6845.341857910156,17012051968,15032385536,7780126720,0
