Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740150098914,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,14.361923217773438,7.333641052246094,21.011260986328125,11.505729675292969,89.5722427368164,16.728805541992188,56.46660614013672,7.1729888916015625,12.229278564453125,15.343009948730469,18.026290893554688,18.908050537109375,24592.99432373047,33289.756774902344,127066.15618896484,6684.569152832031,17012051968,15032385536,7801393152,0
199,1740150098914,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,22.08348846435547,13.56011962890625,7.479736328125,2.9918975830078125,93.81596374511719,0,21.786659240722656,0,2.8152084350585938,14.179702758789063,92.89012145996094,4.165092468261719,24593.002563476563,33289.87365722656,127066.20819091797,6684.569152832031,17012051968,15032385536,7801409536,0
3,1740150099114,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,8.723045349121094,1.7457656860351563,5.3118438720703125,4.806816101074219,17.56816864013672,2.3488616943359375,5.2855377197265625,6.4375457763671875,8.654396057128906,3.2027969360351563,9.377365112304688,3.9360504150390625,24593.17724609375,33292.88977050781,127066.84503173828,6684.6044921875,17012051968,15032385536,7801937920,0
