Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1740440417211,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.128425598144531,2.91912841796875,31.691116333007813,0.9451065063476563,6.654815673828125,7.678215026855469,4.84844970703125,6.642181396484375,1.2939071655273438,3.2102432250976563,11.105865478515625,3.9109115600585938,7087.7921142578125,4096,241,56,4,84271.6470336914,75587.65856933594,689.8970336914063,16976154624,5100273664,7873445888,0
200,1740440417412,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.7944488525390625,1.3087387084960938,22.659767150878906,0.0855255126953125,4.56982421875,5.208793640136719,2.4441146850585938,0.8602523803710938,0.49151611328125,3.2863006591796875,7.005500793457031,2.239166259765625,7087.9976806640625,4096,241,56,3,84272.47668457031,75588.2387084961,689.9210205078125,16976154624,5100273664,7873425408,0
200,1740440417613,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.181129455566406,0.8404922485351563,18.98896026611328,2.1663284301757813,2.65472412109375,5.907493591308594,3.3259201049804688,1.0370864868164063,0.4863433837890625,1.5981369018554688,6.018890380859375,2.0584259033203125,7088.20166015625,4096,241,56,4,84273.43005371094,75588.94512939453,689.94677734375,16976154624,5100273664,7875698688,0
200,1740440417813,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.490867614746094,0.214202880859375,18.608596801757813,0.3758392333984375,2.2747421264648438,5.572113037109375,4.1038818359375,1.0897216796875,1.5489425659179688,2.49176025390625,6.880561828613281,1.9914321899414063,7088.403015136719,4096,241,56,3,84274.38684082031,75589.67181396484,689.971435546875,16976154624,5100273664,7875678208,0
200,1740440418014,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.1901397705078125,3.5011062622070313,11.789070129394531,0.8697662353515625,88.91355895996094,0.35416412353515625,16.464401245117188,0.2166900634765625,15.382347106933594,1.3199996948242188,3.9643936157226563,0.47634124755859375,7088.60595703125,4096,241,56,4,84279.7431640625,75594.74035644531,690.0007934570313,16976154624,5100273664,7873114112,0
200,1740440418214,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.8588790893554688,0.445220947265625,12.454086303710938,3.7157516479492188,34.413963317871094,1.892822265625,4.477470397949219,5.31097412109375,2.078887939453125,0.9808273315429688,12.182876586914063,0.8346023559570313,7088.797424316406,4096,241,56,4,84282.64477539063,75597.40161132813,690.0261840820313,16976154624,5100273664,7872307200,0
200,1740440418415,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,9.41412353515625,0.885772705078125,12.564109802246094,0.8254318237304688,57.69429016113281,2.3793792724609375,6.588157653808594,1.2716751098632813,2.7727890014648438,2.6697616577148438,5.384490966796875,1.1242218017578125,7089.05029296875,4096,241,56,4,84286.14587402344,75600.61352539063,690.0692138671875,16976154624,5100273664,7902683136,0
200,1740440418617,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,13.681289672851563,0.648345947265625,24.464317321777344,1.9106063842773438,4.087532043457031,8.919357299804688,5.581047058105469,2.0040435791015625,2.0283279418945313,3.48834228515625,12.435630798339844,2.5723495483398438,7089.255126953125,4096,253,56,3,84287.00415039063,75601.18908691406,690.0902709960938,16976154624,5100273664,7902547968,0
200,1740440418817,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.081809997558594,0.1217498779296875,22.644485473632813,0.0012969970703125,3.0971908569335938,3.027984619140625,3.6148452758789063,0.9980087280273438,5.347969055175781,1.9481735229492188,6.865684509277344,1.699920654296875,7089.4609375,4096,253,56,7,84287.95208740234,75601.884765625,690.11572265625,16976154624,5100273664,7902679040,0
200,1740440419018,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.4253997802734375,12.175361633300781,17.754981994628906,0.43677520751953125,4.956596374511719,4.768562316894531,2.2020111083984375,1.4518585205078125,2.6823501586914063,3.78631591796875,6.881202697753906,1.8722457885742188,7089.6744384765625,4096,253,56,7,84289.38055419922,75603.05419921875,690.1422729492188,16976154624,5100273664,7900454912,0
200,1740440419219,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.121894836425781,0.117919921875,17.410751342773438,0.06268310546875,3.0640640258789063,3.7526473999023438,0.7295989990234375,0.7025070190429688,1.0916061401367188,0.6964263916015625,5.9046478271484375,3.1116180419921875,7089.877746582031,4096,253,56,7,84290.57019042969,75603.97595214844,690.1683349609375,16976154624,5100273664,7900413952,0
200,1740440419420,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.4446563720703125,0.7245712280273438,22.110641479492188,0.34105682373046875,1.0091094970703125,3.6947021484375,3.3623504638671875,1.2273941040039063,4.793479919433594,0.9902114868164063,6.4931640625,3.4154052734375,7090.0858154296875,4096,253,56,7,84291.58807373047,75604.73352050781,690.19482421875,16976154624,5100273664,7900393472,0
200,1740440419621,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.549919128417969,1.3804092407226563,18.270896911621094,1.1893234252929688,1.5597686767578125,3.6063003540039063,3.6272125244140625,0.9328155517578125,2.6970901489257813,0.6131744384765625,7.032295227050781,1.8990707397460938,7090.2825927734375,4096,253,56,7,84292.63153076172,75605.52868652344,690.2184448242188,16976154624,5100273664,7902593024,0
200,1740440419822,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,17.854949951171875,0.9225921630859375,27.131019592285156,0.3561553955078125,6.542472839355469,3.6896209716796875,10.635841369628906,0.8906173706054688,10.730171203613281,1.1220169067382813,12.8914794921875,0.8021926879882813,7090.483459472656,4096,253,56,7,84295.66925048828,75608.3148803711,690.2425537109375,16976154624,5100273664,7902445568,0
200,1740440420023,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,16.28954315185547,2.2424545288085938,44.58513259887695,1.6884841918945313,13.225601196289063,3.0422897338867188,1.7694473266601563,0.8048095703125,0.5407867431640625,1.2363739013671875,3.2898941040039063,45.2355842590332,7090.671813964844,4096,253,56,7,84299.56451416016,75611.9580078125,690.2654418945313,16976154624,5100273664,7900512256,0
200,1740440420223,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.1456146240234375,0.354705810546875,27.193748474121094,0.2617950439453125,5.771949768066406,7.812774658203125,1.356353759765625,2.1406173706054688,1.2852325439453125,2.3167343139648438,7.035148620605469,5.8390350341796875,7090.8692626953125,4096,253,56,7,84300.68786621094,75612.83264160156,690.2885131835938,16976154624,5100273664,7900512256,0
200,1740440420424,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.6470794677734375,0.24237060546875,21.67792510986328,0.259857177734375,4.503662109375,5.952751159667969,0.8458023071289063,5.798774719238281,2.5671157836914063,1.8740310668945313,6.322357177734375,1.361602783203125,7091.075927734375,4096,253,56,7,84301.73291015625,75613.62872314453,690.3102416992188,16976154624,5100273664,7900475392,0
200,1740440420625,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.331596374511719,0.493560791015625,21.051895141601563,1.5700759887695313,3.8710174560546875,5.8336181640625,1.3489913940429688,1.2138290405273438,1.8236465454101563,1.9434967041015625,8.132369995117188,1.4053573608398438,7091.283508300781,4096,253,56,7,84302.71356201172,75614.33984375,690.3331909179688,16976154624,5100273664,7902375936,0
200,1740440420826,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.139183044433594,0.20255279541015625,27.129356384277344,0.14064788818359375,3.0544891357421875,5.903205871582031,4.42327880859375,1.2341384887695313,1.2118988037109375,3.7333602905273438,7.5727996826171875,1.6915359497070313,7091.486328125,4096,253,56,7,84303.58178710938,75614.95227050781,690.3566284179688,16976154624,5100273664,7902126080,0
200,1740440421027,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.3287582397460938,12.361297607421875,14.784698486328125,1.2797164916992188,2.2875213623046875,2.5630722045898438,4.699150085449219,0.3383941650390625,1.2176361083984375,1.73388671875,3.6702880859375,0.6785507202148438,7091.6827392578125,4096,253,56,8,84305.52709960938,75616.64868164063,690.3851928710938,16976154624,5100273664,7899697152,0
200,1740440421228,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,11.39031982421875,0.36064910888671875,23.436767578125,3.9277572631835938,11.733345031738281,8.306159973144531,6.2208251953125,1.0568389892578125,1.1987991333007813,3.6468734741210938,15.152641296386719,1.935638427734375,7091.916442871094,4096,253,56,7,84307.13000488281,75617.97857666016,690.4214477539063,16976154624,5100273664,7927828480,0
200,1740440421429,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.492591857910156,0.7324752807617188,18.703773498535156,0.5125503540039063,4.680259704589844,3.5405197143554688,1.3328018188476563,4.17730712890625,1.3897476196289063,1.657562255859375,34.564430236816406,2.6994781494140625,7092.144348144531,4096,253,56,7,84309.63543701172,75620.20672607422,690.4480590820313,16976154624,5100273664,7911931904,0
200,1740440421630,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.827392578125,1.0872955322265625,62.32189178466797,0.04462432861328125,6.717079162597656,5.207588195800781,2.436492919921875,0.9001693725585938,1.7149124145507813,0.72198486328125,6.822601318359375,3.5105667114257813,7092.35498046875,4096,253,56,6,84311.69665527344,75622.01440429688,690.4636840820313,16976154624,5100273664,7912497152,0
200,1740440421830,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.61920166015625,0.49069976806640625,37.42808532714844,0.2222900390625,2.1466445922851563,5.8098297119140625,2.0748062133789063,0.76702880859375,71.12715911865234,0.3072662353515625,31.153770446777344,1.18792724609375,7092.588073730469,4096,245,56,0,84316.98040771484,75627.05181884766,690.46826171875,16976154624,5100273664,7911960576,0
200,1740440422031,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,10.841590881347656,28.172393798828125,30.5782470703125,10.068344116210938,19.66217041015625,22.474227905273438,12.381599426269531,5.363121032714844,12.61627197265625,7.63128662109375,13.103134155273438,6.798583984375,7092.822204589844,4096,245,56,4,84321.47216796875,75631.22045898438,690.4957275390625,16976154624,5100273664,7910060032,0
200,1740440422232,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,41.219539642333984,38.35320281982422,43.883277893066406,24.695404052734375,32.663230895996094,28.413253784179688,37.8488883972168,26.84698486328125,32.315582275390625,28.90302276611328,39.6718864440918,25.309410095214844,7093.096862792969,4096,241,56,6,84326.88446044922,75636.28576660156,690.5255126953125,16976154624,5100273664,7910162432,0
200,1740440422432,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,39.783756256103516,41.09452819824219,44.268714904785156,29.81269073486328,33.12144470214844,28.86498260498047,31.098800659179688,25.175628662109375,31.588096618652344,28.73332977294922,35.779052734375,26.9549560546875,7093.358581542969,4096,245,56,4,84331.9926147461,75641.1089477539,690.5535278320313,16976154624,5100273664,7910121472,0
200,1740440422633,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,41.215213775634766,33.78881072998047,35.306297302246094,32.769859313964844,34.2496337890625,28.024559020996094,27.770851135253906,20.43663787841797,33.69403839111328,28.571319580078125,34.53276824951172,27.852462768554688,7093.636779785156,4096,253,56,4,84337.30767822266,75646.05151367188,690.58203125,16976154624,5100273664,7912505344,0
200,1740440422833,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,56.497047424316406,50.90706253051758,52.19765090942383,51.02759552001953,52.05708312988281,49.31764602661133,35.401031494140625,34.73353576660156,44.55821228027344,45.95442581176758,49.78142166137695,40.12547302246094,7094.00537109375,4096,253,56,5,84345.80975341797,75654.14849853516,690.6136474609375,16976154624,5100273664,7911858176,0
200,1740440423034,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,36.49287796020508,34.18896484375,53.530033111572266,27.95763397216797,33.49114227294922,35.60072326660156,42.15327835083008,27.639793395996094,36.326045989990234,32.253929138183594,33.979209899902344,28.090347290039063,7094.283447265625,4096,256,56,4,84349.66540527344,75657.64672851563,690.641357421875,16976154624,5100273664,7910010880,0
200,1740440423235,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,40.75795364379883,36.839351654052734,41.897090911865234,34.12566375732422,38.15946960449219,33.34660339355469,34.619300842285156,27.059112548828125,38.490379333496094,34.17622375488281,39.19963073730469,27.798118591308594,7094.601135253906,4096,260,56,5,84357.14685058594,75664.72814941406,690.6718139648438,16976154624,5100273664,7909892096,0
200,1740440423435,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,12.115798950195313,10.131004333496094,26.780075073242188,10.093116760253906,13.066474914550781,14.222450256347656,10.402877807617188,9.911712646484375,10.173690795898438,11.963287353515625,12.647148132324219,7.7482757568359375,7094.842834472656,4096,271,56,5,84360.7993774414,75668.03485107422,690.700927734375,16976154624,5100273664,7909707776,0
200,1740440423636,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,15.641006469726563,7.953254699707031,35.92088317871094,4.346282958984375,13.130340576171875,18.71234893798828,9.002189636230469,9.789222717285156,8.300209045410156,19.675582885742188,16.96520233154297,6.574302673339844,7095.0677490234375,4096,271,56,5,84363.06268310547,75669.92962646484,690.73046875,16976154624,5100273664,7913365504,0
200,1740440423838,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.942596435546875,6.023040771484375,22.723922729492188,4.527015686035156,6.880134582519531,14.988456726074219,7.689384460449219,6.30206298828125,5.241600036621094,13.218185424804688,9.362495422363281,4.941413879394531,7095.2916259765625,4096,271,57,4,84365.58123779297,75672.0961303711,690.7582397460938,16976154624,5100273664,7913488384,0
200,1740440424038,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,36.77656936645508,36.06673812866211,48.15243148803711,31.301559448242188,29.75232696533203,41.58049774169922,28.562660217285156,15.490928649902344,30.38481903076172,34.471893310546875,33.63335418701172,24.223365783691406,7095.597351074219,4096,271,57,4,84370.86547851563,75677.03228759766,690.7869262695313,16976154624,5100273664,7913172992,0
200,1740440424239,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.661750793457031,7.211463928222656,21.601966857910156,4.06268310546875,6.0797882080078125,13.930839538574219,15.986396789550781,4.932624816894531,4.778266906738281,11.15704345703125,7.9503631591796875,4.4254913330078125,7095.816101074219,4096,271,57,5,84373.87518310547,75679.68408203125,690.81591796875,16976154624,5100273664,7910682624,0
201,1740440424439,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.018402099609375,4.674034118652344,19.119041442871094,6.781761169433594,5.492530822753906,10.552619934082031,6.333526611328125,6.292182922363281,9.201011657714844,6.261138916015625,11.884841918945313,4.6344451904296875,7096.036315917969,4096,271,56,4,84376.69696044922,75682.15966796875,690.8442993164063,16976154624,5100273664,7910739968,0
200,1740440424641,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.5756378173828125,5.091804504394531,19.946067810058594,3.575897216796875,4.7744293212890625,12.3594970703125,6.9792633056640625,6.740226745605469,13.435600280761719,4.109855651855469,8.858543395996094,4.344451904296875,7096.2568359375,4096,271,56,4,84379.42254638672,75684.54174804688,690.8728637695313,16976154624,5100273664,7905943552,0
200,1740440424842,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,11.356658935546875,4.5547027587890625,27.192222595214844,3.324127197265625,8.3956298828125,17.58539581298828,7.5111236572265625,7.31756591796875,17.363037109375,5.007415771484375,10.450325012207031,4.6617431640625,7096.470886230469,4096,271,56,4,84381.49633789063,75686.27648925781,690.9000244140625,16976154624,5100273664,7906119680,0
200,1740440425043,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,10.747795104980469,6.2877349853515625,30.60419464111328,4.161323547363281,6.8366241455078125,18.44159698486328,6.935066223144531,6.412467956542969,16.1383056640625,5.263336181640625,14.722770690917969,4.64532470703125,7096.693115234375,4096,271,57,5,84383.63940429688,75688.0562133789,690.9269409179688,16976154624,5100273664,7906234368,0
