Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740221072213,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,0,0,0,0,1.4728012084960938,0,0,0,0,0,0,0,9082.943481445313,108611.3466796875,37553.00830078125,1779.7807006835938,17012051968,15032385536,8762875904,0
199,1740221072214,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,87.18753051757813,68.48837280273438,74.2679443359375,78.60955047607422,97.44166564941406,66.35978698730469,84.03561401367188,72.903076171875,67.00882720947266,100,89.65764617919922,67.95654296875,9082.954406738281,108611.46746826172,37553.097412109375,1779.7825317382813,17012051968,15032385536,8763359232,0
3,1740221072414,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,4.0798492431640625,1.43426513671875,2.6102371215820313,2.7263336181640625,23.222213745117188,4.2372283935546875,20.543701171875,5.0054168701171875,5.075714111328125,9.696128845214844,7.349266052246094,3.0800094604492188,9083.120178222656,108613.05712890625,37553.80780029297,1779.8151245117188,17012051968,15032385536,8764235776,0
