Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740218985907,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,0,0,10.276542663574219,0,0.243011474609375,0,19.191696166992188,0,0,0,18.413673400878906,0,7536.314025878906,95154.35729980469,32316.92889404297,1632.0913696289063,17012051968,15032385536,9012494336,0
198,1740218985909,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,51.0108642578125,38.38958740234375,62.609134674072266,38.14888000488281,84.11439514160156,38.436038970947266,76.82879638671875,38.157325744628906,40.106204986572266,87.39350128173828,50.485107421875,64.62452697753906,7536.322082519531,95154.5009765625,32316.999938964844,1632.0913696289063,17012051968,15032385536,9012088832,0
3,1740218986107,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,3.4277191162109375,3.5084609985351563,2.868377685546875,2.1819076538085938,37.21546173095703,3.2235260009765625,10.504180908203125,1.4823455810546875,2.3553314208984375,7.999565124511719,2.3301467895507813,3.643798828125,7536.4815673828125,95157.5189819336,32317.66064453125,1632.1240234375,17012051968,15032385536,9014374400,0
