Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742941648533,49353.471282958984,4650,0,1.21875,22213.165954589844,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,44.920467376708984,10.986244201660156,5.457466125488281,18.1265869140625,50.36937713623047,14.506973266601563,64.63580322265625,27.33392333984375,83.16361999511719,0,43.788089752197266,3.0367889404296875,34239672320,34583793664,8817143808,0
191,1742941648542,9309.920639038086,3720.0000000000005,0,1.2125,22214.029388427734,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,38.24973678588867,21.879043579101563,3.0923919677734375,18.366714477539063,68.57365417480469,17.364166259765625,30.087844848632813,28.23180389404297,36.238582611083984,11.063613891601563,33.436744689941406,4.735816955566406,34239672320,34583793664,8816787456,0
200,1742941648734,47006.78630065918,4650,0,1.2125,22225.082077026367,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,44.8726692199707,15.670829772949219,6.3893585205078125,5.440910339355469,44.698917388916016,21.58606719970703,37.0649299621582,20.55609893798828,18.069236755371094,4.731971740722656,26.62059783935547,6.672332763671875,34239672320,34583793664,8878645248,0
200,1742941648934,9312.04183959961,3720.0000000000005,0,1.2,22236.470184326172,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,30.533363342285156,11.222984313964844,5.638191223144531,3.5819778442382813,64.87357330322266,19.41950225830078,31.731414794921875,32.52112579345703,15.607711791992188,6.0663909912109375,19.156143188476563,9.662261962890625,34239672320,34583793664,8903200768,0
200,1742941649134,5775.830963134766,4650,0,1.21875,22247.943817138672,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,30.18878936767578,10.9456787109375,5.403251647949219,3.7020263671875,52.28388214111328,15.245582580566406,54.264259338378906,15.002906799316406,15.675338745117188,16.184165954589844,24.423355102539063,8.158363342285156,34239672320,34583793664,8910172160,0
200,1742941649335,9314.731155395508,3720.0000000000005,0,1.20625,22258.7576751709,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,17.477462768554688,7.1824798583984375,1.8629913330078125,1.9145355224609375,40.359771728515625,7.126136779785156,67.43877410888672,5.36883544921875,5.09002685546875,3.5352706909179688,13.102851867675781,7.491058349609375,34239672320,34583793664,8926908416,0
200,1742941649535,62298.78950500488,4650,0,1.20625,22269.466522216797,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,13.973609924316406,7.872383117675781,3.8223724365234375,4.990745544433594,88.19573211669922,3.3984603881835938,24.319625854492188,7.2455902099609375,3.4090118408203125,2.1581344604492188,6.175880432128906,7.079185485839844,34239672320,34583793664,8929091584,0
200,1742941649735,5779.743804931641,4650,0,1.21875,22281.193252563477,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,43.299659729003906,10.471664428710938,5.361610412597656,3.2614059448242188,57.668819427490234,32.48863220214844,40.159122467041016,45.01348114013672,19.074928283691406,3.9812164306640625,18.78289031982422,7.120109558105469,34239672320,34583793664,8942907392,0
200,1742941649935,62300.88536071777,4650,0,1.20625,22292.618774414063,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,55.61227035522461,3.6090545654296875,2.143524169921875,1.9968185424804688,54.40135192871094,51.397335052490234,55.80428695678711,8.637725830078125,9.173141479492188,3.7099380493164063,7.477294921875,7.736541748046875,34239672320,34583793664,8948666368,0
199,1742941650136,5782.422668457031,4650,0,1.2125,22303.334594726563,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,19.655807495117188,5.062568664550781,1.135711669921875,2.357330322265625,56.203712463378906,10.498802185058594,46.27737045288086,8.137092590332031,7.9837493896484375,3.8325424194335938,11.299293518066406,7.506202697753906,34239672320,34583793664,8950177792,0
