Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742941282265,44259.550521850586,4650,0,1.2125,4455.008193969727,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,40.86581802368164,29.22399139404297,33.736366271972656,0.8008499145507813,46.47522735595703,54.117156982421875,36.075496673583984,49.98002243041992,77.80818176269531,22.025047302246094,33.47838592529297,14.383987426757813,34239672320,34583793664,8771145728,0
190,1742941282275,4466.778106689453,3720.0000000000005,0,1.2125,4455.977935791016,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,56.6150016784668,7.3602294921875,13.56005859375,1.8412704467773438,26.173538208007813,54.49211120605469,53.52131271362305,35.85040283203125,22.408660888671875,21.685577392578125,65.85386657714844,42.13050079345703,34239672320,34583793664,8772800512,0
200,1742941282465,4468.021179199219,4650,0,1.2125,4468.871536254883,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,43.72728729248047,16.754501342773438,21.635879516601563,7.718925476074219,46.26893997192383,31.462051391601563,50.530818939208984,22.180091857910156,28.558364868164063,13.354782104492188,33.901824951171875,22.494369506835938,34239672320,34583793664,8834883584,0
200,1742941282665,61208.32971191406,4650,0,1.20625,4479.809783935547,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,45.06354904174805,28.815528869628906,14.574325561523438,4.15814208984375,65.07513427734375,29.121658325195313,38.227996826171875,26.1016845703125,20.443565368652344,21.011459350585938,26.543731689453125,13.621025085449219,34239672320,34583793664,8862838784,0
200,1742941282866,61209.52429199219,4650,0,1.2125,4492.859085083008,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,43.468292236328125,29.188278198242188,16.3671875,7.718879699707031,53.69456100463867,42.227027893066406,39.19302749633789,60.12248992919922,18.433517456054688,20.822769165039063,41.062252044677734,32.260032653808594,34239672320,34583793664,8908099584,0
200,1742941283066,61210.82061767578,4650,0,1.225,4505.431838989258,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,53.390201568603516,22.847503662109375,9.288406372070313,3.0396881103515625,39.597412109375,62.917396545410156,39.26618957519531,49.58613586425781,41.809722900390625,2.4721221923828125,14.83624267578125,29.039215087890625,34239672320,34583793664,8959004672,0
200,1742941283266,8124.583221435547,4650,0,1.2125,4516.699966430664,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,23.049583435058594,13.331413269042969,5.159324645996094,4.2918701171875,72.94940185546875,20.137649536132813,35.207435607910156,18.471725463867188,7.044578552246094,2.6499710083007813,11.735206604003906,6.595703125,34239672320,34583793664,8894705664,0
200,1742941283466,4474.576705932617,4650,0,1.2125,4528.164733886719,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,31.293678283691406,6.621482849121094,4.277351379394531,1.7010955810546875,41.941650390625,15.755256652832031,33.13829040527344,53.04536437988281,12.957275390625,6.7411651611328125,16.621116638183594,9.637840270996094,34239672320,34583793664,8886185984,0
200,1742941283667,8127.133163452148,3720.0000000000005,0,1.2125,4539.705276489258,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,38.018714904785156,9.727134704589844,5.405708312988281,3.8128890991210938,68.9849624633789,16.716934204101563,38.72331237792969,13.660980224609375,13.654388427734375,7.33038330078125,18.954376220703125,5.9548492431640625,34239672320,34583793664,8885972992,0
200,1742941283867,8128.19416809082,4650,0,1.2125,4551.046966552734,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,27.00452423095703,7.0281219482421875,8.046470642089844,1.4882888793945313,72.95430755615234,11.23846435546875,40.63529968261719,13.951995849609375,16.030364990234375,2.2763824462890625,16.048965454101563,7.148712158203125,34239672320,34583793664,8905949184,0
200,1742941284068,4478.783004760742,4650,0,1.225,4563.123962402344,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,35.94921112060547,10.370689392089844,10.009231567382813,6.354400634765625,47.462345123291016,21.050376892089844,45.32595443725586,17.019027709960938,16.26312255859375,5.082038879394531,22.39825439453125,8.005531311035156,34239672320,34583793664,8906657792,0
200,1742941284268,4479.996734619141,4650,0,1.2125,4573.780136108398,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,24.539291381835938,16.31908416748047,13.020149230957031,6.051727294921875,71.51414489746094,14.787315368652344,27.814788818359375,15.378952026367188,11.497871398925781,7.8338470458984375,17.972557067871094,8.559211730957031,34239672320,34583793664,8920182784,0
200,1742941284468,8131.257385253906,3720.0000000000005,0,1.21875,4584.582382202148,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,28.50560760498047,8.134040832519531,4.502159118652344,1.7310409545898438,45.03044128417969,10.002395629882813,48.84503936767578,7.050910949707031,13.655998229980469,4.752349853515625,12.588592529296875,15.916114807128906,34239672320,34583793664,8912457728,0
200,1742941284669,61217.11541748047,3720.0000000000005,0,1.21875,4595.442138671875,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,18.73712921142578,7.050788879394531,3.5479202270507813,5.2596588134765625,23.008262634277344,9.227149963378906,9.687286376953125,83.03199768066406,6.534049987792969,1.9880523681640625,13.315895080566406,7.5780792236328125,34239672320,34583793664,8911106048,0
200,1742941284869,8133.810531616211,4650,0,1.20625,4606.32942199707,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,26.543045043945313,15.776115417480469,13.538070678710938,6.1031646728515625,52.61072540283203,13.816566467285156,29.050987243652344,15.046791076660156,10.821762084960938,4.5238189697265625,23.809844970703125,7.258125305175781,34239672320,34583793664,8912842752,0
4,1742941285070,48488.795150756836,4650,0,1.2125,4616.755386352539,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,12.929733276367188,7.657989501953125,3.7178192138671875,1.67706298828125,65.55010223388672,13.1541748046875,21.642059326171875,17.526756286621094,15.605056762695313,8.348831176757813,10.400581359863281,4.7898712158203125,34239672320,34583793664,8783736832,0
